"id","municipality_name","entitled_to_vote","votes_cast","turnout","valid_votes","yes","no","yes_percentage"
75602430304,"Kallnach",1155,587,50.8,584,413,168,71.1
75602430305,"Kappelen",936,471,50.3,471,326,141,69.8
75602430306,"Lyss",8252,4200,50.9,4186,2380,1763,57.4
75602460307,"Meikirch",1881,1087,57.8,1079,496,575,46.3
75602430308,"Niederried bei Kallnach",233,119,51.1,118,81,35,69.8
75602430309,"Radelfingen",951,459,48.3,459,269,185,59.3
75602430310,"Rapperswil (BE)",1666,825,49.5,825,480,335,58.9
75602430311,"Schüpfen",2606,1350,51.8,1303,676,613,52.4
75602430312,"Seedorf (BE)",2399,1256,52.4,1256,760,472,61.7
75602440321,"Aarwangen",2980,1617,54.3,1616,992,609,62
75602440322,"Auswil",401,194,48.4,194,141,51,73.4
75602440323,"Bannwil",519,267,51.4,264,177,84,67.8
75602440324,"Bleienbach",538,265,49.3,265,183,80,69.6
75602440325,"Busswil bei Melchnau",159,81,50.9,81,62,18,77.5
75602440326,"Gondiswil",587,291,49.6,291,221,68,76.5
75602440328,"Kleindietwil",413,174,42.1,174,105,68,60.7
75602440329,"Langenthal",10130,5032,49.7,5032,2600,2367,52.3
75602440330,"Leimiswil",329,128,38.9,128,84,38,68.9
75602440331,"Lotzwil",1657,835,50.4,833,508,318,61.5
75602440332,"Madiswil",1680,852,50.7,843,554,284,66.1
75602440333,"Melchnau",1145,500,43.7,499,333,161,67.4
75602440334,"Obersteckholz",326,159,48.8,159,112,47,70.4
75602440335,"Oeschenbach",220,72,32.7,72,52,19,73.2
75602440336,"Reisiswil",164,72,43.9,72,50,20,71.4
75602440337,"Roggwil (BE)",2738,1272,46.5,1272,749,510,59.5
75602440338,"Rohrbach",1185,509,43,509,365,140,72.3
75602440339,"Rohrbachgraben",326,148,45.4,147,105,42,71.4
75602440340,"Rütschelen",437,226,51.7,226,159,66,70.7
75602440341,"Schwarzhäusern",382,217,56.8,214,146,66,68.9
75602440342,"Thunstetten",2115,1014,47.9,1014,689,309,69
75602440344,"Ursenbach",710,302,42.5,302,204,96,68
75602440345,"Wynau",1104,528,47.8,528,372,152,71
75602460351,"Bern",83222,43634,52.4,43634,12998,30167,30.1
75602460352,"Bolligen",4764,3002,63,2996,1246,1698,42.3
75602460353,"Bremgarten bei Bern",3157,1903,60.3,1903,711,1169,37.8
75602460354,"Kirchlindach",2249,1456,64.7,1456,624,819,43.2
75602460355,"Köniz",27585,15147,54.9,15136,6365,8598,42.5
75602460356,"Muri bei Bern",9538,5814,61,5814,2320,3397,40.6
75602460357,"Oberbalm",687,346,50.4,346,242,101,70.6
75602460358,"Stettlen",2187,1215,55.6,1215,553,653,45.9
75602460359,"Vechigen",3557,1995,56.1,1995,963,1007,48.9
75602460360,"Wohlen bei Bern",6946,4127,59.4,4118,1752,2330,42.9
75602460361,"Zollikofen",6786,3701,54.5,3700,1803,1852,49.3
75602460362,"Ittigen",7524,3730,49.6,3730,1790,1895,48.6
75602460363,"Ostermundigen",10011,4518,45.1,4463,2306,2157,51.7
75602420371,"Biel/Bienne",31410,14887,47.4,14831,6927,7702,47.4
75602420372,"Evilard",1754,875,49.9,868,376,485,43.7
75602430381,"Arch",1144,594,51.9,594,430,160,72.9
75602430382,"Büetigen",603,347,57.5,347,252,93,73
75602430383,"Büren an der Aare",2371,1205,50.8,1205,754,441,63.1
75602430384,"Busswil bei Büren",1368,645,47.1,645,385,255,60.2
75602430385,"Diessbach bei Büren",659,371,56.3,371,233,131,64
75602430386,"Dotzigen",1023,498,48.7,497,312,182,63.2
75602420387,"Lengnau (BE)",3193,1556,48.7,1551,1000,527,65.5
75602430388,"Leuzigen",959,468,48.8,468,308,154,66.7
75602430389,"Meienried",NA,NA,NA,NA,NA,NA,NA
75602420390,"Meinisberg",918,486,52.9,486,315,165,65.6
75602430391,"Oberwil bei Büren",619,296,47.8,296,183,112,62
75602420392,"Pieterlen",2304,1035,44.9,1035,686,339,66.9
75602430393,"Rüti bei Büren",681,347,51,338,215,120,64.2
75602430394,"Wengi",444,222,50,222,153,67,69.5
75602450401,"Aefligen",812,403,49.6,403,255,146,63.6
75602450402,"Alchenstorf",440,218,49.5,218,149,67,69
75602460403,"Bäriswil",783,438,55.9,438,253,182,58.2
75602450404,"Burgdorf",11157,5559,49.8,5559,2464,3038,44.8
75602450405,"Ersigen",1478,778,52.6,778,465,303,60.5
75602450406,"Hasle bei Burgdorf",2404,970,40.3,969,624,337,64.9
75602450407,"Heimiswil",1244,668,53.7,664,410,233,63.8
75602450408,"Hellsau",NA,NA,NA,NA,NA,NA,NA
75602450409,"Hindelbank",1572,744,47.3,744,434,300,59.1
75602450410,"Höchstetten",353,165,46.7,165,109,56,66.1
75602450411,"Kernenried",345,145,42,145,96,47,67.1
75602450412,"Kirchberg (BE)",4067,2118,52.1,2118,1206,896,57.4
75602450413,"Koppigen",1544,777,50.3,777,479,292,62.1
75602450414,"Krauchthal",1796,846,47.1,834,535,292,64.7
75602450415,"Lyssach",1145,605,52.8,588,392,192,67.1
75602450416,"Mötschwil",242,111,45.9,109,73,36,67
75602450417,"Niederösch",NA,NA,NA,NA,NA,NA,NA
75602450418,"Oberburg",2010,912,45.4,912,579,317,64.6
75602450419,"Oberösch",NA,NA,NA,NA,NA,NA,NA
75602450420,"Rüdtligen-Alchenflüh",1376,590,42.9,590,394,193,67.1
75602450421,"Rumendingen",66,30,45.5,30,26,4,86.7
75602450422,"Rüti bei Lyssach",NA,NA,NA,NA,NA,NA,NA
75602450423,"Willadingen",156,79,50.6,79,55,24,69.6
75602450424,"Wynigen",1615,739,45.8,738,471,263,64.2
75602410431,"Corgémont",1095,536,48.9,536,334,199,62.7
75602410432,"Cormoret",393,177,45,176,83,91,47.7
75602410433,"Cortébert",504,250,49.6,248,142,96,59.7
75602410434,"Courtelary",866,408,47.1,405,230,169,57.6
75602410435,"La Ferrière",385,125,32.5,125,61,62,49.6
75602410436,"La Heutte",338,169,50,169,99,70,58.6
75602410437,"Mont-Tramelan",109,51,46.8,51,30,21,58.8
75602410438,"Orvin",890,402,45.2,398,241,153,61.2
75602410439,"Péry",978,442,45.2,442,286,151,65.4
75602410440,"Plagne",291,136,46.7,136,84,50,62.7
75602410441,"Renan (BE)",639,261,40.8,256,135,118,53.4
75602410442,"Romont (BE)",144,77,53.5,77,54,22,71.1
75602410443,"Saint-Imier",2958,1331,45,1331,658,642,50.6
75602410444,"Sonceboz-Sombeval",1150,455,39.6,455,270,181,59.9
75602410445,"Sonvilier",818,282,34.5,277,141,132,51.6
75602410446,"Tramelan",3174,1847,58.2,1847,875,932,48.4
75602410447,"Vauffelin",297,144,48.5,144,87,53,62.1
75602410448,"Villeret",653,281,43,281,143,135,51.4
75602430491,"Brüttelen",426,223,52.3,223,150,71,67.9
75602430492,"Erlach",903,490,54.3,490,227,257,46.9
75602430493,"Finsterhennen",305,161,52.8,161,97,60,61.8
75602430494,"Gals",526,271,51.5,271,157,107,59.5
75602430495,"Gampelen",541,266,49.2,266,168,86,66.1
75602430496,"Ins",2194,1175,53.6,1172,652,512,56
75602430497,"Lüscherz",422,191,45.3,191,133,57,70
75602430498,"Müntschemier",791,516,65.2,516,371,144,72
75602430499,"Siselen",446,214,48,214,132,79,62.6
75602430500,"Treiten",319,170,53.3,170,115,53,68.5
75602430501,"Tschugg",324,177,54.6,177,73,103,41.5
75602430502,"Vinelz",626,338,54,338,196,138,58.7
75602430532,"Bangerten",127,73,57.5,73,70,3,95.9
75602450533,"Bätterkinden",2429,1144,47.1,1144,596,535,52.7
75602460534,"Büren zum Hof",346,199,57.5,199,99,97,50.5
75602460535,"Deisswil bei Münchenbuchsee",NA,NA,NA,NA,NA,NA,NA
75602460536,"Diemerswil",150,101,67.3,101,52,47,52.5
75602460537,"Etzelkofen",252,116,46,116,70,45,60.9
75602460538,"Fraubrunnen",1330,747,56.2,747,340,400,45.9
75602460539,"Grafenried",767,429,55.9,429,228,200,53.3
75602460540,"Jegenstorf",3551,1950,54.9,1932,879,1034,45.9
75602460541,"Iffwil",321,161,50.2,160,89,70,56
75602460542,"Limpach",266,128,48.1,128,92,35,72.4
75602460543,"Mattstetten",481,252,52.4,252,141,110,56.2
75602460544,"Moosseedorf",2460,1287,52.3,1287,716,558,56.2
75602460545,"Mülchi",174,80,46,80,63,15,80.8
75602460546,"Münchenbuchsee",6889,3538,51.4,3528,1771,1709,50.9
75602460547,"Münchringen",460,282,61.3,279,134,139,49.1
75602430548,"Ruppoldsried",203,82,40.4,82,55,27,67.1
75602460549,"Schalunen",263,123,46.8,119,77,41,65.3
75602460550,"Scheunen",55,38,69.1,38,34,4,89.5
75602460551,"Urtenen-Schönbühl",3945,1790,45.4,1787,1006,760,57
75602450552,"Utzenstorf",3093,1630,52.7,1622,943,657,58.9
75602460553,"Wiggiswil",158,91,57.6,91,58,32,64.4
75602450554,"Wiler bei Utzenstorf",647,300,46.4,300,170,126,57.4
75602460555,"Zauggenried",269,126,46.8,123,67,56,54.5
75602450556,"Zielebach",272,123,45.2,122,92,30,75.4
75602460557,"Zuzwil (BE)",454,268,59,267,148,118,55.6
75602490561,"Adelboden",2708,1500,55.4,1500,1126,358,75.9
75602490562,"Aeschi bei Spiez",1582,810,51.2,809,532,266,66.7
75602490563,"Frutigen",5102,2462,48.3,2447,1780,645,73.4
75602490564,"Kandergrund",656,324,49.4,324,272,50,84.5
75602490565,"Kandersteg",874,425,48.6,425,255,166,60.6
75602490566,"Krattigen",781,376,48.1,376,217,155,58.3
75602490567,"Reichenbach im Kandertal",2682,1299,48.4,1283,964,310,75.7
75602500571,"Beatenberg",879,515,58.6,511,343,166,67.4
75602500572,"Bönigen",1860,904,48.6,904,567,333,63
75602500573,"Brienz (BE)",2262,1081,47.8,1077,640,418,60.5
75602500574,"Brienzwiler",394,193,49,193,142,51,73.6
75602500575,"Därligen",319,147,46.1,147,90,55,62.1
75602500576,"Grindelwald",2683,1253,46.7,1253,907,328,73.4
75602500577,"Gsteigwiler",346,156,45.1,156,97,55,63.8
75602500578,"Gündlischwand",224,96,42.9,96,72,23,75.8
75602500579,"Habkern",481,192,39.9,192,147,45,76.6
75602500580,"Hofstetten bei Brienz",426,218,51.2,218,158,55,74.2
75602500581,"Interlaken",3552,1755,49.4,1755,968,772,55.6
75602500582,"Iseltwald",330,137,41.5,137,99,36,73.3
75602500584,"Lauterbrunnen",1723,733,42.5,733,431,288,59.9
75602500585,"Leissigen",718,350,48.7,350,199,147,57.5
75602500586,"Lütschental",182,73,40.1,73,54,18,75
75602500587,"Matten bei Interlaken",2717,1276,47,1276,786,479,62.1
75602500588,"Niederried bei Interlaken",247,121,49,121,72,49,59.5
75602500589,"Oberried am Brienzersee",394,170,43.1,170,112,58,65.9
75602500590,"Ringgenberg (BE)",1947,914,46.9,913,611,295,67.4
75602500591,"Saxeten",89,35,39.3,35,24,11,68.6
75602500592,"Schwanden bei Brienz",489,248,50.7,245,142,100,58.7
75602500593,"Unterseen",3985,2027,50.9,2024,1192,804,59.7
75602500594,"Wilderswil",1813,863,47.6,863,584,269,68.5
75602460602,"Arni (BE)",783,358,45.7,358,257,93,73.4
75602460603,"Biglen",1343,610,45.4,610,335,270,55.4
75602460604,"Bleiken bei Oberdiessbach",287,129,44.9,129,107,20,84.3
75602460605,"Bowil",1086,474,43.6,474,329,142,69.9
75602460606,"Brenzikofen",414,220,53.1,220,146,71,67.3
75602460607,"Freimettigen",329,166,50.5,166,99,65,60.4
75602460608,"Grosshöchstetten",2456,1274,51.9,1274,641,611,51.2
75602460609,"Häutligen",188,94,50,94,74,19,79.6
75602460610,"Herbligen",442,197,44.6,197,133,62,68.2
75602460611,"Kiesen",659,353,53.6,353,207,139,59.8
75602460612,"Konolfingen",3642,1963,53.9,1927,1124,786,58.8
75602460613,"Landiswil",529,209,39.5,209,153,54,73.9
75602460614,"Linden",1029,447,43.4,447,347,97,78.2
75602460615,"Mirchel",444,194,43.7,194,141,52,73.1
75602460616,"Münsingen",8146,4802,58.9,4786,2150,2592,45.3
75602460617,"Niederhünigen",501,240,47.9,240,113,123,47.9
75602460619,"Oberdiessbach",2336,1176,50.3,1170,705,452,60.9
75602460620,"Oberthal",633,250,39.5,250,162,87,65.1
75602460622,"Oppligen",493,247,50.1,247,144,101,58.8
75602460623,"Rubigen",2175,1152,53,1136,526,601,46.7
75602460624,"Schlosswil",530,270,50.9,270,150,119,55.8
75602460625,"Tägertschi",309,183,59.2,183,117,66,63.9
75602460626,"Walkringen",1456,671,46.1,671,429,236,64.5
75602460627,"Worb",8251,4427,53.7,4423,2146,2236,49
75602460628,"Zäziwil",1228,571,46.5,571,333,228,59.4
75602460629,"Oberhünigen",241,92,38.2,92,68,22,75.6
75602460630,"Allmendingen",389,229,58.9,229,123,103,54.4
75602460631,"Trimstein",382,209,54.7,209,119,85,58.3
75602460632,"Wichtrach",3063,1500,49,1500,851,630,57.5
75602460661,"Clavaleyres",NA,NA,NA,NA,NA,NA,NA
75602460662,"Ferenbalm",988,492,49.8,492,324,165,66.3
75602460663,"Frauenkappelen",986,550,55.8,550,296,246,54.6
75602460664,"Golaten",234,135,57.7,135,97,35,73.5
75602460665,"Gurbrü",186,102,54.8,101,75,26,74.3
75602460666,"Kriechenwil",345,174,50.4,174,117,54,68.4
75602460667,"Laupen",2090,1064,50.9,1025,495,524,48.6
75602460668,"Mühleberg",2149,1096,51,1096,650,438,59.7
75602460669,"Münchenwiler",384,157,40.9,157,87,68,56.1
75602460670,"Neuenegg",3643,1842,50.6,1842,1083,722,60
75602460671,"Wileroltigen",280,111,39.6,111,79,28,73.8
75602410681,"Belprahon",227,131,57.7,131,70,60,53.8
75602410682,"Bévilard",1181,530,44.9,530,305,215,58.7
75602410683,"Champoz",125,79,63.2,79,63,14,81.8
75602410684,"Châtelat",88,43,48.9,43,26,17,60.5
75602410687,"Corcelles (BE)",175,74,42.3,74,53,20,72.6
75602410690,"Court",1029,435,42.3,435,277,155,64.1
75602410691,"Crémines",390,174,44.6,173,99,72,57.9
75602410692,"Eschert",246,119,48.4,119,76,41,65
75602410694,"Grandval",282,101,35.8,101,58,43,57.4
75602410696,"Loveresse",243,104,42.8,104,58,44,56.9
75602410697,"Malleray",1302,579,44.5,577,339,233,59.3
75602410699,"Monible",32,23,71.9,23,10,13,43.5
75602410700,"Moutier",4811,3027,62.9,3026,1366,1573,46.5
75602410701,"Perrefitte",356,170,47.8,170,119,51,70
75602410702,"Pontenet",144,85,59,76,31,45,40.8
75602410703,"Reconvilier",1481,664,44.8,660,392,261,60
75602410704,"Roches (BE)",173,87,50.3,87,63,23,73.3
75602410706,"Saicourt",448,182,40.6,181,119,61,66.1
75602410707,"Saules (BE)",115,82,71.3,82,68,12,85
75602410708,"Schelten",48,22,45.8,21,14,7,66.7
75602410709,"Seehof",57,19,33.3,19,15,4,78.9
75602410710,"Sornetan",103,52,50.5,52,30,21,58.8
75602410711,"Sorvilier",203,85,41.9,85,45,38,54.2
75602410712,"Souboz",88,54,61.4,54,38,16,70.4
75602410713,"Tavannes",2248,903,40.2,903,484,408,54.3
75602410715,"Rebévelier",33,21,63.6,21,15,6,71.4
75602410721,"Diesse",319,136,42.6,136,59,75,44
75602410722,"Lamboing",515,217,42.1,216,117,97,54.7
75602410723,"La Neuveville",2417,1253,51.8,1248,478,760,38.6
75602410724,"Nods",532,219,41.2,219,113,103,52.3
75602410725,"Prêles",670,415,61.9,403,176,221,44.3
75602420731,"Aegerten",1272,660,51.9,659,435,215,66.9
75602420732,"Bellmund",1086,634,58.4,630,364,261,58.2
75602420733,"Brügg",2837,1363,48,1362,842,505,62.5
75602430734,"Bühl",341,182,53.4,174,121,49,71.2
75602430735,"Epsach",271,152,56.1,150,100,49,67.1
75602430736,"Hagneck",333,185,55.6,185,119,62,65.7
75602430737,"Hermrigen",212,112,52.8,112,90,20,81.8
75602430738,"Jens",524,322,61.5,322,195,126,60.7
75602420739,"Ipsach",2822,1598,56.6,1598,906,677,57.2
75602420740,"Ligerz",429,250,58.3,249,108,139,43.7
