"id","municipality_name","entitled_to_vote","votes_cast","turnout","valid_votes","yes","no","yes_percentage"
75601010001,"Aeugst am Albis",1326,845,63.7,829,388,436,47.1
75601010002,"Affoltern am Albis",6732,3676,54.6,3616,1933,1635,54.2
75601010003,"Bonstetten",3559,2130,59.8,2130,1049,1057,49.8
75601010004,"Hausen am Albis",2397,1489,62.1,1469,739,720,50.7
75601010005,"Hedingen",2322,1473,63.4,1454,712,732,49.3
75601010006,"Kappel am Albis",648,430,66.4,428,250,174,59
75601010007,"Knonau",1257,711,56.6,706,369,328,52.9
75601010008,"Maschwanden",470,250,53.2,248,138,107,56.3
75601010009,"Mettmenstetten",2947,1791,60.8,1770,897,857,51.1
75601010010,"Obfelden",3051,1694,55.5,1680,949,714,57.1
75601010011,"Ottenbach",1786,1123,62.9,1112,557,547,50.5
75601010012,"Rifferswil",664,437,65.8,437,197,234,45.7
75601010013,"Stallikon",2164,1346,62.2,1345,756,577,56.7
75601010014,"Wettswil am Albis",3190,2055,64.4,2038,1041,985,51.4
75601020021,"Adlikon",471,307,65.2,304,216,86,71.5
75601020022,"Benken (ZH)",599,354,59.1,349,220,129,63
75601020023,"Berg am Irchel",471,311,66,308,198,108,64.7
75601020024,"Buch am Irchel",622,404,65,402,265,136,66.1
75601020025,"Dachsen",1290,724,56.1,715,372,334,52.7
75601020026,"Dorf",456,287,62.9,282,211,69,75.4
75601020027,"Feuerthalen",2240,1256,56.1,1243,705,529,57.1
75601020028,"Flaach",851,572,67.2,565,424,138,75.4
75601020029,"Flurlingen",987,623,63.1,618,261,351,42.6
75601020030,"Andelfingen",1313,865,65.9,855,446,398,52.8
75601020031,"Henggart",1532,988,64.5,983,602,375,61.6
75601020032,"Humlikon",343,220,64.1,220,146,70,67.6
75601020033,"Kleinandelfingen",1467,894,60.9,885,533,344,60.8
75601020034,"Laufen-Uhwiesen",1105,685,62,667,379,283,57.3
75601020035,"Marthalen",1442,914,63.4,908,603,295,67.1
75601020036,"Oberstammheim",830,506,61,497,265,227,53.9
75601020037,"Ossingen",997,597,59.9,595,346,246,58.4
75601020038,"Rheinau",898,540,60.1,540,255,276,48
75601020039,"Thalheim an der Thur",576,344,59.7,344,245,98,71.4
75601020040,"Trüllikon",791,463,58.5,462,310,147,67.8
75601020041,"Truttikon",346,239,69.1,234,149,85,63.7
75601020042,"Unterstammheim",632,384,60.8,374,210,162,56.5
75601020043,"Volken",218,134,61.5,134,94,38,71.2
75601020044,"Waltalingen",506,328,64.8,327,203,118,63.2
75601030051,"Bachenbülach",2400,1290,53.8,1252,727,509,58.8
75601030052,"Bassersdorf",6859,3591,52.4,3549,2014,1515,57.1
75601030053,"Bülach",10929,5718,52.3,5657,3274,2322,58.5
75601030054,"Dietlikon",4530,2585,57.1,2572,1396,1146,54.9
75601030055,"Eglisau",2768,1759,63.5,1727,951,763,55.5
75601030056,"Embrach",5509,2878,52.2,2819,1712,1076,61.4
75601030057,"Freienstein-Teufen",1610,1012,62.9,1003,579,420,58
75601030058,"Glattfelden",2738,1456,53.2,1434,908,515,63.8
75601030059,"Hochfelden",1348,798,59.2,787,535,249,68.2
75601030060,"Höri",1374,648,47.2,647,490,154,76.1
75601030061,"Hüntwangen",686,401,58.5,397,237,158,60
75601030062,"Kloten",10825,5323,49.2,5227,3276,1876,63.6
75601030063,"Lufingen",1129,649,57.5,638,409,226,64.4
75601030064,"Nürensdorf",3757,2307,61.4,2278,1439,817,63.8
75601030065,"Oberembrach",745,466,62.6,462,313,144,68.5
75601030066,"Opfikon",7557,3384,44.8,3373,2077,1270,62.1
75601030067,"Rafz",2678,1719,64.2,1703,1037,660,61.1
75601030068,"Rorbas",1447,756,52.2,744,450,288,61
75601030069,"Wallisellen",8319,4624,55.6,4566,2542,1976,56.3
75601030070,"Wasterkingen",422,261,61.8,258,179,79,69.4
75601030071,"Wil (ZH)",984,619,62.9,619,377,237,61.4
75601030072,"Winkel",2849,1750,61.4,1736,1088,637,63.1
75601040081,"Bachs",460,277,60.2,275,192,83,69.8
75601040082,"Boppelsen",877,556,63.4,551,319,229,58.2
75601040083,"Buchs (ZH)",3460,1837,53.1,1810,1173,620,65.4
75601040084,"Dällikon",2181,1125,51.6,1113,747,358,67.6
75601040085,"Dänikon",1133,652,57.5,641,427,207,67.4
75601040086,"Dielsdorf",3434,1809,52.7,1778,1113,648,63.2
75601040087,"Hüttikon",476,284,59.7,278,196,80,71
75601040088,"Neerach",2220,1403,63.2,1391,907,475,65.6
75601040089,"Niederglatt",2851,1573,55.2,1539,1058,463,69.6
75601040090,"Niederhasli",5172,2781,53.8,2743,1789,927,65.9
75601040091,"Niederweningen",1793,1052,58.7,1048,593,444,57.2
75601040092,"Oberglatt",3129,1432,45.8,1395,929,455,67.1
75601040093,"Oberweningen",1133,663,58.5,652,399,249,61.6
75601040094,"Otelfingen",1626,953,58.6,930,534,385,58.1
75601040095,"Regensberg",315,207,65.7,202,92,107,46.2
75601040096,"Regensdorf",9219,4798,52,4713,3045,1629,65.1
75601040097,"Rümlang",4046,2103,52,2070,1393,656,68
75601040098,"Schleinikon",529,303,57.3,303,180,121,59.8
75601040099,"Schöfflisdorf",956,594,62.1,588,382,202,65.4
75601040100,"Stadel",1455,763,52.4,757,491,262,65.2
75601040101,"Steinmaur",2111,1185,56.1,1168,709,446,61.4
75601040102,"Weiach",742,414,55.8,411,292,115,71.7
75601050111,"Bäretswil",3473,1985,57.2,1959,1257,686,64.7
75601050112,"Bubikon",4661,2762,59.3,2742,1634,1095,59.9
75601050113,"Dürnten",4451,2531,56.9,2479,1586,882,64.3
75601050114,"Fischenthal",1575,918,58.3,912,666,234,74
75601050115,"Gossau (ZH)",6776,4049,59.8,4023,2513,1489,62.8
75601050116,"Grüningen",2257,1349,59.8,1344,800,539,59.7
75601050117,"Hinwil",7243,4293,59.3,4261,2842,1368,67.5
75601050118,"Rüti (ZH)",7715,4130,53.5,4070,2283,1747,56.7
75601050119,"Seegräben",867,560,64.6,557,275,277,49.8
75601050120,"Wald (ZH)",5618,3180,56.6,3167,1856,1270,59.4
75601050121,"Wetzikon (ZH)",13957,7320,52.4,7222,4219,2964,58.7
75601060131,"Adliswil",9929,5547,55.9,5453,2833,2572,52.4
75601060132,"Hirzel",1474,877,59.5,870,455,406,52.8
75601060133,"Horgen",11386,6474,56.9,6366,3407,2883,54.2
75601060134,"Hütten",646,371,57.4,371,242,123,66.3
75601060135,"Kilchberg (ZH)",4784,3080,64.4,3049,1359,1648,45.2
75601060136,"Langnau am Albis",4594,2688,58.5,2661,1386,1245,52.7
75601060137,"Oberrieden",3510,2288,65.2,2275,1032,1226,45.7
75601060138,"Richterswil",8284,4952,59.8,4854,2634,2173,54.8
75601060139,"Rüschlikon",3339,2035,60.9,1987,929,1032,47.4
75601060140,"Schönenberg (ZH)",1420,921,64.9,904,576,321,64.2
75601060141,"Thalwil",11181,6571,58.8,6454,2926,3441,46
75601060142,"Wädenswil",13397,7857,58.6,7782,4031,3649,52.5
75601070151,"Erlenbach (ZH)",3462,2363,68.3,2308,1066,1212,46.8
75601070152,"Herrliberg",4088,2836,69.4,2817,1483,1311,53.1
75601070153,"Hombrechtikon",5407,3176,58.7,3146,1931,1174,62.2
75601070154,"Küsnacht (ZH)",9125,6013,65.9,5878,2811,2995,48.4
75601070155,"Männedorf",6908,4302,62.3,4261,1971,2238,46.8
75601070156,"Meilen",8496,5455,64.2,5362,2584,2704,48.9
75601070157,"Oetwil am See",2577,1349,52.3,1334,838,488,63.2
75601070158,"Stäfa",9529,6024,63.2,5920,2828,3012,48.4
75601070159,"Uetikon am See",3814,2361,61.9,2314,1215,1099,52.5
75601070160,"Zumikon",3415,2429,71.1,2391,1095,1270,46.3
75601070161,"Zollikon",8305,5378,64.8,5328,2238,3001,42.7
75601080171,"Bauma",2859,1653,57.8,1644,1130,506,69.1
75601080172,"Fehraltorf",3994,2232,55.9,2224,1331,876,60.3
75601080173,"Hittnau",2487,1466,58.9,1449,903,540,62.6
75601080174,"Illnau-Effretikon",10025,5602,55.9,5531,3138,2348,57.2
75601080175,"Kyburg",285,184,64.6,184,118,61,65.9
75601080176,"Lindau",3182,1878,59,1852,1143,696,62.2
75601080177,"Pfäffikon",7149,4228,59.1,4139,2339,1773,56.9
75601080178,"Russikon",2965,1839,62,1813,1114,684,62
75601080179,"Sternenberg",285,148,51.9,147,78,65,54.5
75601080180,"Weisslingen",2333,1411,60.5,1411,893,509,63.7
75601080181,"Wila",1415,876,61.9,870,614,250,71.1
75601080182,"Wildberg",722,503,69.7,503,318,181,63.7
75601090191,"Dübendorf",14497,7493,51.7,7366,4222,3032,58.2
75601090192,"Egg",5431,3240,59.7,3180,1730,1422,54.9
75601090193,"Fällanden",5172,2868,55.5,2827,1374,1428,49
75601090194,"Greifensee",3454,1993,57.7,1958,885,1053,45.7
75601090195,"Maur",6371,4043,63.5,4008,2057,1916,51.8
75601090196,"Mönchaltorf",2474,1421,57.4,1415,745,657,53.1
75601090197,"Schwerzenbach",2851,1546,54.2,1536,814,705,53.6
75601090198,"Uster",20855,11839,56.8,11592,5777,5681,50.4
75601090199,"Volketswil",10681,5684,53.2,5617,3612,1959,64.8
75601090200,"Wangen-Brüttisellen",4557,2349,51.5,2336,1413,906,60.9
75601100211,"Altikon",467,272,58.2,269,183,84,68.5
75601100212,"Bertschikon",794,523,65.9,517,375,138,73.1
75601100213,"Brütten",1459,995,68.2,978,544,426,56.1
75601100214,"Dägerlen",726,474,65.3,468,274,193,58.7
75601100215,"Dättlikon",535,354,66.2,354,190,159,54.4
75601100216,"Dinhard",1051,710,67.6,700,440,253,63.5
75601100217,"Elgg",2686,1636,60.9,1620,944,668,58.6
75601100218,"Ellikon an der Thur",614,352,57.3,352,243,106,69.6
75601100219,"Elsau",2325,1461,62.8,1447,845,587,59
75601100220,"Hagenbuch",815,492,60.4,483,376,106,78
75601100221,"Hettlingen",2058,1383,67.2,1365,776,580,57.2
75601100222,"Hofstetten (ZH)",329,208,63.2,207,146,57,71.9
75601100223,"Neftenbach",3680,2208,60,2176,1306,855,60.4
75601100224,"Pfungen",1814,978,53.9,953,609,332,64.7
75601100225,"Rickenbach (ZH)",1815,1129,62.2,1121,700,413,62.9
75601100226,"Schlatt (ZH)",519,326,62.8,323,225,98,69.7
75601100227,"Seuzach",5181,3223,62.2,3162,1923,1214,61.3
75601100228,"Turbenthal",2791,1710,61.3,1689,1076,601,64.2
75601100229,"Wiesendangen",3478,2249,64.7,2241,1246,980,56
75601100230,"Winterthur",65614,36930,56.3,36375,16181,19894,44.9
75601100231,"Zell (ZH)",3546,2013,56.8,1976,1225,730,62.7
75601110241,"Aesch (ZH)",757,537,70.9,525,289,229,55.8
75601110242,"Birmensdorf (ZH)",3869,2325,60.1,2299,1260,1005,55.6
75601110243,"Dietikon",11851,5516,46.5,5446,3125,2245,58.2
75601110244,"Geroldswil",3094,1661,53.7,1635,1008,613,62.2
75601110245,"Oberengstringen",3954,2083,52.7,2052,1130,893,55.9
75601110246,"Oetwil an der Limmat",1691,998,59,984,569,406,58.4
75601110247,"Schlieren",7547,3413,45.2,3351,1888,1421,57.1
75601110248,"Uitikon",2829,1964,69.4,1927,983,922,51.6
75601110249,"Unterengstringen",2252,1332,59.1,1310,805,481,62.6
75601110250,"Urdorf",6017,3422,56.9,3354,1881,1445,56.6
75601110251,"Weiningen (ZH)",2586,1487,57.5,1459,913,537,63
75601120261,"Zürich",226532,122442,54.1,119735,42083,76436,35.5
75602430301,"Aarberg",3032,1784,58.8,1782,1025,746,57.9
75602430302,"Bargen (BE)",758,388,51.2,386,244,142,63.2
75602430303,"Grossaffoltern",2173,1287,59.2,1282,681,587,53.7
