"id","municipality_name","entitled_to_vote","votes_cast","turnout","valid_votes","yes","no","yes_percentage"
75619114313,"Leuggern","1,457","881",60.5,"878","614","264",69.9
75619114314,"Mellikon","168","99",58.9,"95","50","45",52.6
75619114315,"Rekingen (AG)","566","306",54.1,"301","215","86",71.4
75619114316,"Rietheim","377","193",51.2,"193","109","84",56.5
75619114317,"Rümikon","167","92",55.1,"92","61","31",66.3
75619114318,"Schneisingen","982","598",60.9,"597","346","251",58
75619114319,"Siglistorf","396","218",55.1,"218","154","64",70.6
75619114320,"Tegerfelden","770","433",56.2,"430","264","166",61.4
75619114322,"Wislikofen","257","155",60.3,"152","65","87",42.8
75619114323,"Bad Zurzach","2,243","1,218",54.3,"1,211","664","547",54.8
75620114401,"Arbon","8,211","3,861",47,"3,741","2,112","1,629",56.5
75620114406,"Dozwil","435","281",64.6,"275","195","80",70.9
75620114411,"Egnach","3,074","1,700",55.3,"1,666","967","699",58
75620114416,"Hefenhofen","848","445",52.5,"438","275","163",62.8
75620114421,"Horn","1,785","929",52,"914","509","405",55.7
75620114426,"Kesswil","651","427",65.6,"423","220","203",52
75620114431,"Roggwil (TG)","1,947","1,094",56.2,"1,059","647","412",61.1
75620114436,"Romanshorn","6,195","3,116",50.3,"3,052","1,679","1,373",55
75620114441,"Salmsach","818","404",49.4,"399","232","167",58.1
75620114446,"Sommeri","374","221",59.1,"218","151","67",69.3
75620114451,"Uttwil","1,207","707",58.6,"699","405","294",57.9
75620114461,"Amriswil","7,406","3,416",46.1,"3,334","2,034","1,300",61
75620154471,"Bischofszell","3,502","1,791",51.1,"1,749","1,029","720",58.8
75620154476,"Erlen","2,028","989",48.8,"964","622","342",64.5
75620154486,"Hauptwil-Gottshaus","1,341","719",53.6,"703","454","249",64.6
75620154495,"Hohentannen","429","243",56.6,"239","174","65",72.8
75620154501,"Kradolf-Schönenberg","2,159","1,096",50.8,"1,073","678","395",63.2
75620154506,"Sulgen","2,297","1,243",54.1,"1,228","752","476",61.2
75620154511,"Zihlschlacht-Sitterdorf","1,496","848",56.7,"816","529","287",64.8
75620124536,"Basadingen-Schlattingen","1,204","734",61,"710","488","222",68.7
75620124545,"Diessenhofen","2,026","1,138",56.2,"1,130","666","464",58.9
75620124546,"Schlatt (TG)","1,150","655",57,"650","422","228",64.9
75620144551,"Aadorf","5,810","3,099",53.3,"2,941","1,742","1,199",59.2
75620124561,"Felben-Wellhausen","1,700","827",48.6,"798","499","299",62.5
75620124566,"Frauenfeld","15,548","8,521",54.8,"8,321","4,044","4,277",48.6
75620124571,"Gachnang","2,444","1,398",57.2,"1,321","767","554",58.1
75620124590,"Hüttlingen","605","359",59.3,"351","206","145",58.7
75620124591,"Matzingen","1,591","787",49.5,"768","456","312",59.4
75620124601,"Neunforn","745","440",59.1,"434","267","167",61.5
75620124606,"Stettfurt","812","494",60.8,"485","254","231",52.4
75620124611,"Thundorf","988","549",55.6,"530","328","202",61.9
