"id","district_name","valid_votes","yes","no","yes_percentage"
"7562312","District de Sion",18305,7198,11107,39.3
"7562313","Bezirk Visp",11627,5889,5738,50.6
"7562401","District de Boudry",15357,5213,10144,33.9
"7562402","District de la Chaux-de-Fonds",12433,4260,8173,34.3
"7562403","District du Locle",5544,2317,3227,41.8
"7562404","District de Neuchâtel",18967,5540,13427,29.2
"7562405","District du Val-de-Ruz",7123,2858,4265,40.1
"7562406","District du Val-de-Travers",4171,1882,2289,45.1
"7562500","Canton de Genève",136947,48567,88380,35.5
"7562601","District de Delémont",14102,5435,8667,38.5
"7562602","District des Franches-Montagnes",4341,1550,2791,35.7
"7562603","District de Porrentruy",9882,4252,5630,43
"75603009030","LU-Ausland-CH",1984,698,1286,35.2
"75610009100","FR-CH de l'Ã©tranger",1702,729,973,42.8
"75617009170","SG-Ausland-CH",2692,1110,1582,41.2
"75619009190","AG-Ausland-CH",2667,965,1702,36.2
"75620009200","TG-Ausland-CH",1167,468,699,40.1
"75622009220","VD-CH de l'Ã©tranger",5985,2469,3516,41.3
"75623009230","VS-CH de l'Ã©tranger",1703,749,954,44
