"id","district_number","district_name","canton_code","gdebznr","gdebzna","gdekt"
"7561907","1907","Bezirk Lenzburg","AG",1907,"Bezirk Lenzburg","AG"
"7561908","1908","Bezirk Muri","AG",1908,"Bezirk Muri","AG"
"7561909","1909","Bezirk Rheinfelden","AG",1909,"Bezirk Rheinfelden","AG"
"7561910","1910","Bezirk Zofingen","AG",1910,"Bezirk Zofingen","AG"
"7561911","1911","Bezirk Zurzach","AG",1911,"Bezirk Zurzach","AG"
"7562011","2011","Bezirk Arbon","TG",2011,"Bezirk Arbon","TG"
"7562012","2012","Bezirk Frauenfeld","TG",2012,"Bezirk Frauenfeld","TG"
"7562013","2013","Bezirk Kreuzlingen","TG",2013,"Bezirk Kreuzlingen","TG"
"7562014","2014","Bezirk Münchwilen","TG",2014,"Bezirk Münchwilen","TG"
"7562015","2015","Bezirk Weinfelden","TG",2015,"Bezirk Weinfelden","TG"
"7562101","2101","Distretto di Bellinzona","TI",2101,"Distretto di Bellinzona","TI"
"7562102","2102","Distretto di Blenio","TI",2102,"Distretto di Blenio","TI"
"7562103","2103","Distretto di Leventina","TI",2103,"Distretto di Leventina","TI"
"7562104","2104","Distretto di Locarno","TI",2104,"Distretto di Locarno","TI"
"7562105","2105","Distretto di Lugano","TI",2105,"Distretto di Lugano","TI"
"7562106","2106","Distretto di Mendrisio","TI",2106,"Distretto di Mendrisio","TI"
"7562107","2107","Distretto di Riviera","TI",2107,"Distretto di Riviera","TI"
"7562108","2108","Distretto di Vallemaggia","TI",2108,"Distretto di Vallemaggia","TI"
"7562221","2221","District d'Aigle","VD",2221,"District d'Aigle","VD"
"7562222","2222","District de la Broye-Vully","VD",2222,"District de la Broye-Vully","VD"
"7562223","2223","District du Gros-de-Vaud","VD",2223,"District du Gros-de-Vaud","VD"
"7562224","2224","District du Jura-Nord vaudois","VD",2224,"District du Jura-Nord vaudois","VD"
"7562225","2225","District de Lausanne","VD",2225,"District de Lausanne","VD"
"7562226","2226","District de Lavaux-Oron","VD",2226,"District de Lavaux-Oron","VD"
"7562227","2227","District de Morges","VD",2227,"District de Morges","VD"
"7562228","2228","District de Nyon","VD",2228,"District de Nyon","VD"
"7562229","2229","District de l'Ouest lausannois","VD",2229,"District de l'Ouest lausannois","VD"
"7562230","2230","District de la Riviera-Pays-d'Enhaut","VD",2230,"District de la Riviera-Pays-d'Enhaut","VD"
"7562301","2301","Bezirk Brig","VS",2301,"Bezirk Brig","VS"
"7562302","2302","District de Conthey","VS",2302,"District de Conthey","VS"
"7562303","2303","District d'Entremont","VS",2303,"District d'Entremont","VS"
"7562304","2304","Bezirk Goms","VS",2304,"Bezirk Goms","VS"
"7562305","2305","District d'Hérens","VS",2305,"District d'Hérens","VS"
"7562306","2306","Bezirk Leuk","VS",2306,"Bezirk Leuk","VS"
"7562307","2307","District de Martigny","VS",2307,"District de Martigny","VS"
"7562308","2308","District de Monthey","VS",2308,"District de Monthey","VS"
"7562309","2309","Bezirk Raron","VS",2309,"Bezirk Raron","VS"
"7562310","2310","District de Saint-Maurice","VS",2310,"District de Saint-Maurice","VS"
"7562311","2311","District de Sierre","VS",2311,"District de Sierre","VS"
"7562312","2312","District de Sion","VS",2312,"District de Sion","VS"
"7562313","2313","Bezirk Visp","VS",2313,"Bezirk Visp","VS"
"7562401","2401","District de Boudry","NE",2401,"District de Boudry","NE"
"7562402","2402","District de la Chaux-de-Fonds","NE",2402,"District de la Chaux-de-Fonds","NE"
"7562403","2403","District du Locle","NE",2403,"District du Locle","NE"
"7562404","2404","District de Neuchâtel","NE",2404,"District de Neuchâtel","NE"
"7562405","2405","District du Val-de-Ruz","NE",2405,"District du Val-de-Ruz","NE"
"7562406","2406","District du Val-de-Travers","NE",2406,"District du Val-de-Travers","NE"
"7562500","2500","Canton de Genève","GE",2500,"Canton de Genève","GE"
"7562601","2601","District de Delémont","JU",2601,"District de Delémont","JU"
"7562602","2602","District des Franches-Montagnes","JU",2602,"District des Franches-Montagnes","JU"
"7562603","2603","District de Porrentruy","JU",2603,"District de Porrentruy","JU"
