"V1","V2"
"Entités administratives","Code INS"
"Arrondissement d'Eeklo","43000"
"Assenede","43002"
"Eeklo","43005"
"Kaprijke","43007"
"Maldegem","43010"
"Sint-Laureins","43014"
"Zelzate","43018"
"Arrondissement de Gand","44000"
"Aalter","44001"
"De Pinte","44012"
"Deinze","44011"
"Destelbergen","44013"
"Evergem","44019"
"Gand","44021"
"Gavere","44020"
"Knesselare","44029"
"Lochristi","44034"
"Lovendegem","44036"
"Melle","44040"
"Merelbeke","44043"
"Moerbeke","44045"
"Nazareth","44048"
"Nevele","44049"
"Oosterzele","44052"
"Sint-Martens-Latem","44064"
"Waarschoot","44072"
"Wachtebeke","44073"
"Zomergem","44080"
"Zulte","44081"
"Arrondissement de Saint-Nicolas","46000"
"Beveren","46003"
"Kruibeke","46013"
"Lokeren","46014"
"Saint-Nicolas","46021"
"Sint-Gillis-Waas","46020"
"Stekene","46024"
"Tamise","46025"
"Arrondissement de Termonde","42000"
"Berlare","42003"
"Buggenhout","42004"
"Hamme","42008"
"Laarne","42010"
"Lebbeke","42011"
"Termonde","42006"
"Waasmunster","42023"
"Wetteren","42025"
"Wichelen","42026"
"Zele","42028"
"Province du Limbourg","70000"
"Arrondissement de Hasselt","71000"
"As","71002"
"Beringen","71004"
"Bourg-Léopold","71034"
"Diepenbeek","71011"
"Genk","71016"
"Gingelom","71017"
"Halen","71020"
"Ham","71069"
"Hasselt","71022"
"Herck-la-Ville","71024"
"Heusden-Zolder","71070"
"Lummen","71037"
"Nieuwerkerken","71045"
"Opglabbeek","71047"
"Saint-Trond","71053"
"Tessenderlo","71057"
"Zonhoven","71066"
"Zutendaal","71067"
"Arrondissement de Maaseik","72000"
"Bocholt","72003"
"Bree","72004"
"Dilsen-Stokkem","72041"
"Hamont-Achel","72037"
"Hechtel-Eksel","72038"
"Houthalen-Helchteren","72039"
"Kinrooi","72018"
"Lommel","72020"
"Maaseik","72021"
"Meeuwen-Gruitrode","72040"
"Neerpelt","72025"
"Overpelt","72029"
"Peer","72030"
"Arrondissement de Tongres","73000"
"Alken","73001"
"Bilzen","73006"
"Fourons","73109"
"Heers","73022"
"Herstappe","73028"
"Hoeselt","73032"
"Kortessem","73040"
"Lanaken","73042"
"Looz","73009"
"Maasmechelen","73107"
"Riemst","73066"
"Tongres","73083"
"Wellen","73098"
"Entités administratives","Code INS"
"RÉGION WALLONNE","3000"
"Province du Brabant Wallon","20002"
"Arrondissement de Nivelles","25000"
"Beauvechain","25005"
"Braine-l'Alleud","25014"
"Braine-le-Château","25015"
"Chastre","25117"
"Chaumont-Gistoux","25018"
"Court-Saint-Etienne","25023"
"Genappe","25031"
"Grez-Doiceau","25037"
"Hélécine","25118"
"Incourt","25043"
"Ittre","25044"
"Jodoigne","25048"
"La Hulpe","25050"
"Lasne","25119"
"Mont-Saint-Guibert","25068"
"Nivelles","25072"
"Orp-Jauche","25120"
"Ottignies-Louvain-la-Neuve","25121"
"Perwez","25084"
"Ramillies","25122"
"Rebecq","25123"
"Rixensart","25091"
"Tubize","25105"
"Villers-la-Ville","25107"
"Walhain","25124"
"Waterloo","25110"
"Wavre","25112"
"Province du Hainaut","50000"
"Arrondissement d'Ath","51000"
"Ath","51004"
"Beloeil","51008"
"Bernissart","51009"
"Brugelette","51012"
"Chièvres","51014"
"Ellezelles","51017"
"Flobecq","51019"
"Frasnes-lez-Anvaing","51065"
"Arrondissement de Charleroi","52000"
"Aiseau-Presles","52074"
"Chapelle-lez-Herlaimont","52010"
"Charleroi","52011"
"Châtelet","52012"
"Courcelles","52015"
"Farciennes","52018"
"Fleurus","52021"
"Fontaine-l'Evêque","52022"
"Gerpinnes","52025"
"Les Bons Villers","52075"
"Manage","52043"
"Montigny-le-Tilleul","52048"
"Pont-à-celles","52055"
"Seneffe","52063"
"Arrondissement de Mons","53000"
"Boussu","53014"
"Colfontaine","53082"
"Dour","53020"
"Frameries","53028"
"Hensies","53039"
"Honnelles","53083"
"Jurbise","53044"
"Lens","53046"
"Mons","53053"
"Quaregnon","53065"
"Quévy","53084"
"Quiévrain","53068"
"Saint-Ghislain","53070"
"Arrondissement de Mouscron","54000"
"Comines-Warneton","54010"
"Mouscron","54007"
"Arrondissement de Soignies","55000"
"Braine-le-Comte","55004"
"Ecaussinnes","55050"
"Enghien","55010"
"La Louvière","55022"
"Le Roeulx","55035"
"Lessines","55023"
"Silly","55039"
"Soignies","55040"
"Arrondissement de Thuin","56000"
"Anderlues","56001"
"Beaumont","56005"
"Binche","56011"
"Chimay","56016"
"Erquelinnes","56022"
"Estinnes","56085"
"Froidchapelle","56029"
"Ham-sur-Heure-Nalinnes","56086"
"Lobbes","56044"
"Merbes-le-Château","56049"
"Momignies","56051"
"Morlanwelz","56087"
"Sivry-Rance","56088"
"Thuin","56078"
"Arrondissement de Tournai","57000"
"Antoing","57003"
"Brunehaut","57093"
"Celles","57018"
"Estaimpuis","57027"
"Leuze-en-Hainaut","57094"
"Mont-de-l'Enclus","57095"
"Pecq","57062"
"Péruwelz","57064"
"Rumes","57072"
"Tournai","57081"
"Province de Liège","60000"
"Arrondissement de Huy","61000"
"Amay","61003"
"Anthisnes","61079"
"Burdinne","61010"
"Clavier","61012"
"Engis","61080"
"Ferrières","61019"
"Hamoir","61024"
"Héron","61028"
"Huy","61031"
"Marchin","61039"
"Modave","61041"
"Nandrin","61043"
"Ouffet","61048"
"Tinlot","61081"
"Verlaine","61063"
"Villers-le-Bouillet","61068"
"Wanze","61072"
"Arrondissement de Liège","62000"
"Ans","62003"
"Awans","62006"
"Aywaille","62009"
"Bassenge","62011"
"Beyne-Heusay","62015"
"Blégny","62119"
"Chaudfontaine","62022"
"Comblain-au-Pont","62026"
"Dalhem","62027"
"Esneux","62032"
"Flémalle","62120"
"Fléron","62038"
"Grâce-Hollogne","62118"
"Herstal","62051"
"Juprelle","62060"
"Liège","62063"
"Neupré","62121"
"Oupeye","62079"
"Saint-Nicolas","62093"
"Seraing","62096"
"Soumagne","62099"
"Sprimont","62100"
"Trooz","62122"
"Visé","62108"
"Arrondissement de Verviers","63000"
"Amblève","63001"
"Aubel","63003"
"Baelen","63004"
"Bullange","63012"
"Burg-Reuland","63087"
