id,county_name,trump,cruz,rubio,bush,carson,christie,fiorina,gilmore,huckabee,kasich,santorum,randpaul,repnopref,repother
84019167,Sioux County,502,1524,1469,76,686,24,39,0,35,45,77,117,0,0
84019169,Story County,1127,1799,2397,208,630,164,116,2,123,192,60,627,0,7
84019171,Tama County,350,307,123,12,83,16,10,0,33,12,10,27,0,0
84019173,Taylor County,140,74,52,10,63,5,6,0,9,6,3,10,0,1
84019175,Union County,194,203,135,12,87,3,16,0,28,7,7,10,0,0
84019177,Van Buren County,151,196,63,3,56,3,0,0,51,1,0,7,0,2
84019179,Wapello County,592,489,242,24,127,21,10,0,103,9,2,50,0,0
84019181,Warren County,982,1120,784,95,374,65,37,0,76,44,33,197,0,2
84019183,Washington County,329,542,222,63,194,9,30,0,23,13,15,104,0,0
84019185,Wayne County,114,171,57,9,36,1,5,0,15,7,1,3,0,0
84019187,Webster County,435,432,286,44,120,79,17,0,76,28,12,62,0,0
84019189,Winnebago County,115,187,128,24,91,10,7,0,27,2,4,22,0,0
84019191,Winneshiek County,274,251,208,26,151,9,27,0,23,30,3,40,0,2
84019193,Woodbury County,1600,1367,1065,85,394,69,114,0,23,44,153,141,0,0
84019195,Worth County,113,115,55,9,25,6,11,0,18,5,4,14,0,0
84019197,Wright County,129,190,124,16,58,10,4,0,15,6,3,7,0,0
