id,first_name,last_name,occupation,party,status,bgcolor
clinton,Hillary,Clinton,Former Secretary of State,Democrat,Running,#1f78b4
omalley,Martin,O'Malley,Former Maryland Governor,Democrat,Running,#a6cee3
sanders,Bernie,Sanders,United States Senator,Democrat,Running,#e31a1c
chafee,Lincoln, Chafee,Former Rhode Island Governor,Democrat,Dropped Out,#b2df8a
lessig,Lawrence,Lessig,Harvard Professor,Democrat,Dropped Out,#33a02c
webb,Jim,Webb,Former United States Senator,Democrat,Dropped Out,#fb9a99
biden,Joseph R.,Biden Jr.,Vice President,Democrat,Not Running,#fdbf6f
warren,Elizabeth,Warren,United States Senator,Democrat,Not Running,#ff7f00
demnopref,No Preference,NA,NA,Democrat,NA,#f7f7f7
demother,Other,NA,NA,Democrat,NA,#ccccccc
bush,Jeb,Bush,Former Florida Governor,Republican,Running,#a6cee3
carson,Ben, Carson,Retired Neurosurgeon ,Republican,Running,#1f78b4
christie,Chris,Christie,New Jersey Governor ,Republican,Running,#b2df8a
cruz,Ted,Cruz,United States Senator,Republican,Running,#33a02c
fiorina,Carly,Fiorina,Former Business Executive ,Republican,Running,#fb9a99
gilmore,Jim,Gilmore,Former Virginia Governor,Republican,Running,#fdbf6f
huckabee,Mike,Huckabee,Former Arkansas Governor,Republican,Running,#ff7f00
kasich,John,Kasich,Ohio Governor,Republican,Running,#cab2d6
randpaul,Rand,Paul,United States Senator,Republican,Running,#6a3d9a
rubio,Marco,Rubio,United States Senator,Republican,Running,#ffff99
santorum,Rick,Santorum,Former United States Senator,Republican,Running,#b15928
trump,Donald J.,Trump,Real Estate Mogul,Republican,Running,#e31a1c
graham,Lindsey,Graham,United States Senator,Republican,Dropped Out,#cccccc
jindal,Bobby,Jindal,Louisiana Governor,Republican,Dropped Out,#cccccc
pataki,George,Pataki,Former New York Governor,Republican,Dropped Out,#cccccc
perry,Rick,Perry,Former Texas Governor,Republican,Dropped Out,#cccccc
walker,Scott,Walker,Wisconsin Governor,Republican,Dropped Out,#cccccc
romney,Mitt,Romney,2012 Republican Presidential Nominee,Republican,Not Running,#cccccc
repnopref,No Preference,NA,NA,Republican,NA,#f7f7f7
repother,Other,NA,NA,Republican,NA,#cccccc
uncommitted,Uncommitted,NA,NA,Republican,NA,#f7f7f7
