"id","pct_2012","precinct_names","neighborhood","yes_percentage"
"84006075PCT7335","7335",NA,"CVC CTR/DWTN",NA
"84006075PCT7336","7336","Pct 7336/7345","CVC CTR/DWTN",0.56
"84006075PCT7337","7337","Pct 7337","CVC CTR/DWTN",0.45
"84006075PCT7338","7338","Pct 7338/7327","CVC CTR/DWTN",0.49
"84006075PCT7339","7339","Pct 7339/7341","CVC CTR/DWTN",0.61
"84006075PCT7341","7341",NA,"CVC CTR/DWTN",NA
"84006075PCT7342","7342","Pct 7342/7335","CVC CTR/DWTN",0.6
"84006075PCT7343","7343","Pct 7343/7344","CVC CTR/DWTN",0.59
"84006075PCT7344","7344",NA,"CVC CTR/DWTN",NA
"84006075PCT7345","7345",NA,"CVC CTR/DWTN",NA
"84006075PCT7346","7346","Pct 7346/7347","CVC CTR/DWTN",0.66
"84006075PCT7347","7347",NA,"CVC CTR/DWTN",NA
"84006075PCT7348","7348","Pct 7348","CVC CTR/DWTN",0.51
"84006075PCT7349","7349","Pct 7349","CVC CTR/DWTN",0.57
"84006075PCT7501","7501","Pct 7501/7504","MAR/PAC HTS",0.31
"84006075PCT7502","7502",NA,"MAR/PAC HTS",NA
"84006075PCT7503","7503","Pct 7503/7502","MAR/PAC HTS",0.56
"84006075PCT7504","7504",NA,"WST ADDITION",NA
"84006075PCT7505","7505","Pct 7505","WST ADDITION",0.38
"84006075PCT7506","7506",NA,"WST ADDITION",NA
"84006075PCT7507","7507","Pct 7507/7506","WST ADDITION",0.49
"84006075PCT7508","7508","Pct 7508","WST ADDITION",0.54
"84006075PCT7509","7509","Pct 7509/7511","MAR/PAC HTS",0.54
"84006075PCT7511","7511",NA,"WST ADDITION",NA
"84006075PCT7512","7512",NA,"WST ADDITION",NA
"84006075PCT7513","7513","Pct 7513/7512","WST ADDITION",0.51
"84006075PCT7514","7514",NA,"WST ADDITION",NA
"84006075PCT7515","7515","Pct 7515/7514","WST ADDITION",0.48
"84006075PCT7516","7516","Pct 7516","WST ADDITION",0.43
"84006075PCT7517","7517",NA,"HAIGHT ASH",NA
"84006075PCT7518","7518","Pct 7518/7517","HAIGHT ASH",0.59
"84006075PCT7519","7519",NA,"HAIGHT ASH",NA
"84006075PCT7521","7521","Pct 7521/7519","HAIGHT ASH",0.54
"84006075PCT7522","7522",NA,"WST ADDITION",NA
"84006075PCT7523","7523","Pct 7523/7522","WST ADDITION",0.67
"84006075PCT7524","7524","Pct 7524","WST ADDITION",0.47
"84006075PCT7525","7525","Pct 7525/7526","WST ADDITION",0.62
"84006075PCT7526","7526",NA,"WST ADDITION",NA
"84006075PCT7527","7527","Pct 7527/7528",NA,0.47
"84006075PCT7528","7528",NA,"WST ADDITION",NA
"84006075PCT7529","7529","Pct 7529/7531","WST ADDITION",0.6
"84006075PCT7531","7531",NA,"WST ADDITION",NA
"84006075PCT7532","7532","Pct 7532/7545","WST ADDITION",0.54
"84006075PCT7533","7533","Pct 7533/7534","HAIGHT ASH",0.61
"84006075PCT7534","7534",NA,"HAIGHT ASH",NA
"84006075PCT7535","7535",NA,"HAIGHT ASH",NA
"84006075PCT7536","7536","Pct 7536/7537","HAIGHT ASH",0.54
"84006075PCT7537","7537",NA,"HAIGHT ASH",NA
"84006075PCT7538","7538",NA,"HAIGHT ASH",NA
"84006075PCT7539","7539","Pct 7539/7538","WST ADDITION",0.59
"84006075PCT7541","7541",NA,"WST ADDITION",NA
"84006075PCT7542","7542","Pct 7542/7541","WST ADDITION",0.63
"84006075PCT7543","7543","Pct 7543/7544","WST ADDITION",0.56
"84006075PCT7544","7544",NA,"WST ADDITION",NA
"84006075PCT7545","7545",NA,"WST ADDITION",NA
"84006075PCT7546","7546","Pct 7546/7547","HAIGHT ASH",0.58
"84006075PCT7547","7547",NA,"HAIGHT ASH",NA
"84006075PCT7548","7548","Pct 7548/7535","HAIGHT ASH",0.55
"84006075PCT7549","7549",NA,"INNER SUNSET",NA
"84006075PCT7551","7551",NA,"HAIGHT ASH",NA
"84006075PCT7552","7552","Pct 7552","HAIGHT ASH",0.48
"84006075PCT7553","7553","Pct 7553 MB","INNER SUNSET",1
"84006075PCT7554","7554","Pct 7554/7549","INNER SUNSET",0.51
"84006075PCT7555","7555","Pct 7555/7551","HAIGHT ASH",0.52
"84006075PCT7556","7556","Pct 7556/7557","HAIGHT ASH",0.45
"84006075PCT7557","7557",NA,"HAIGHT ASH",NA
"84006075PCT7601","7601","Pct 7601","CVC CTR/DWTN",0.69
"84006075PCT7602","7602",NA,"CVC CTR/DWTN",NA
"84006075PCT7603","7603",NA,"CVC CTR/DWTN",NA
"84006075PCT7604","7604","Pct 7604/7603","CVC CTR/DWTN",0.63
"84006075PCT7605","7605","Pct 7605/7611","CVC CTR/DWTN",0.57
"84006075PCT7606","7606",NA,"CVC CTR/DWTN",NA
"84006075PCT7607","7607","Pct 7607/7602","CVC CTR/DWTN",0.66
"84006075PCT7608","7608","Pct 7608/7609","CVC CTR/DWTN",0.47
"84006075PCT7609","7609",NA,"CVC CTR/DWTN",NA
"84006075PCT7611","7611",NA,"CVC CTR/DWTN",NA
"84006075PCT7612","7612","Pct 7612/7606","CVC CTR/DWTN",0.53
"84006075PCT7613","7613","Pct 7613/7614","CVC CTR/DWTN",0.67
"84006075PCT7614","7614",NA,"CVC CTR/DWTN",NA
"84006075PCT7615","7615","Pct 7615/7617","CVC CTR/DWTN",0.56
"84006075PCT7616","7616","Pct 7616","CVC CTR/DWTN",0.43
"84006075PCT7617","7617",NA,"CVC CTR/DWTN",NA
"84006075PCT7618","7618","Pct 7618","MISSION",0.66
"84006075PCT7619","7619","Pct 7619","SOMA",0.36
"84006075PCT7621","7621","Pct 7621","SOMA",0.63
"84006075PCT7622","7622","Pct 7622/7624","SOMA",0.57
"84006075PCT7623","7623","Pct 7623/7629","SOMA",0.52
"84006075PCT7624","7624",NA,"SOMA",NA
"84006075PCT7625","7625","Pct 7625","SOMA",0.39
"84006075PCT7626","7626","Pct 7626","SOMA",0.38
"84006075PCT7627","7627","Pct 7627","SOMA",0.4
"84006075PCT7628","7628","Pct 7628","MISSION",0.65
"84006075PCT7629","7629",NA,"SOMA",NA
"84006075PCT7631","7631",NA,"SOMA",NA
"84006075PCT7632","7632","Pct 7632","SOMA",0.54
"84006075PCT7633","7633","Pct 7633/7631","SOMA",0.41
"84006075PCT7634","7634","Pct 7634","SOMA",0.4
"84006075PCT7635","7635",NA,"SOMA",NA
"84006075PCT7636","7636","Pct 7636/7635","SOMA",0.46
"84006075PCT7637","7637","Pct 7637","SOMA",0.41
"84006075PCT7638","7638","Pct 7638","SOMA",0.3
"84006075PCT7639","7639",NA,"SOMA",NA
"84006075PCT7641","7641","Pct 7641/7639","SOMA",0.34
"84006075PCT7642","7642","Pct 7642","SOMA",0.47
"84006075PCT7643","7643","Pct 7643","POTRERO HILL",0.38
"84006075PCT7644","7644","Pct 7644","POTRERO HILL",0.38
"84006075PCT7645","7645","Pct 7645","POTRERO HILL",0.59
"84006075PCT7646","7646","Pct 7646","POTRERO HILL",0.44
"84006075PCT7647","7647","Pct 7647","SOMA",0.55
"84006075PCT7648","7648","Pct 7648 MB","SOMA",NA
"84006075PCT7701","7701","Pct 7701","W TWIN PKS",0.49
"84006075PCT7702","7702",NA,"W TWIN PKS",NA
"84006075PCT7703","7703","Pct 7703 MB","W TWIN PKS",NA
"84006075PCT7704","7704","Pct 7704/7702","W TWIN PKS",0.42
"84006075PCT7705","7705","Pct 7705","W TWIN PKS",0.39
"84006075PCT7706","7706","Pct 7706","W TWIN PKS",0.51
"84006075PCT7707","7707","Pct 7707","W TWIN PKS",0.49
"84006075PCT7708","7708","Pct 7708","W TWIN PKS",0.5
"84006075PCT7709","7709","Pct 7709/7711","W TWIN PKS",0.58
"84006075PCT7711","7711",NA,"W TWIN PKS",NA
"84006075PCT7712","7712","Pct 7712","W TWIN PKS",0.57
"84006075PCT7801","7801","Pct 7801","UPRMKT/EURKA",0.47
"84006075PCT7802","7802","Pct 7802","UPRMKT/EURKA",0.47
"84006075PCT7803","7803",NA,"UPRMKT/EURKA",NA
"84006075PCT7804","7804","Pct 7804","UPRMKT/EURKA",0.5
"84006075PCT7805","7805",NA,"UPRMKT/EURKA",NA
"84006075PCT7806","7806","Pct 7806/7805","UPRMKT/EURKA",0.57
"84006075PCT7807","7807",NA,"UPRMKT/EURKA",NA
"84006075PCT7808","7808","Pct 7808/7807","UPRMKT/EURKA",0.54
"84006075PCT7809","7809","Pct 7809","UPRMKT/EURKA",0.58
"84006075PCT7811","7811",NA,"MISSION",NA
"84006075PCT7812","7812","Pct 7812/7811","MISSION",0.59
"84006075PCT7813","7813",NA,"UPRMKT/EURKA",NA
"84006075PCT7814","7814","Pct 7814/7813","MISSION",0.64
"84006075PCT7815","7815","Pct 7815","UPRMKT/EURKA",0.57
"84006075PCT7816","7816","Pct 7816/7803","UPRMKT/EURKA",0.49
"84006075PCT7817","7817",NA,"UPRMKT/EURKA",NA
"84006075PCT7818","7818","Pct 7818/7817","UPRMKT/EURKA",0.58
"84006075PCT7819","7819","Pct 7819","MISSION",0.58
"84006075PCT7821","7821",NA,"UPRMKT/EURKA",NA
"84006075PCT7822","7822","Pct 7822/7821","UPRMKT/EURKA",0.53
"84006075PCT7823","7823","Pct 7823","UPRMKT/EURKA",0.52
"84006075PCT7824","7824","Pct 7824/7825","UPRMKT/EURKA",0.49
"84006075PCT7825","7825",NA,"UPRMKT/EURKA",NA
"84006075PCT7826","7826",NA,"MISSION",NA
"84006075PCT7827","7827","Pct 7827/7826","MISSION",0.59
"84006075PCT7828","7828","Pct 7828","UPRMKT/EURKA",0.48
"84006075PCT7829","7829",NA,"UPRMKT/EURKA",NA
"84006075PCT7831","7831","Pct 7831","UPRMKT/EURKA",0.45
"84006075PCT7832","7832","Pct 7832","UPRMKT/EURKA",0.53
"84006075PCT7833","7833","Pct 7833","MISSION",0.51
"84006075PCT7834","7834","Pct 7834/7843","MISSION",0.63
"84006075PCT7835","7835","Pct 7835","NOE VALLEY",0.59
"84006075PCT7836","7836","Pct 7836","NOE VALLEY",0.53
"84006075PCT7837","7837","Pct 7837/7829","NOE VALLEY",0.43
"84006075PCT7838","7838","Pct 7838","NOE VALLEY",0.49
"84006075PCT7839","7839","Pct 7839","NOE VALLEY",0.46
"84006075PCT7841","7841","Pct 7841/7848","NOE VALLEY",0.48
"84006075PCT7842","7842","Pct 7842/7849","MISSION",0.55
"84006075PCT7843","7843",NA,"MISSION",NA
"84006075PCT7844","7844","Pct 7844/7858","MISSION",0.59
"84006075PCT7845","7845","Pct 7845","NOE VALLEY",0.38
"84006075PCT7846","7846",NA,"NOE VALLEY",NA
"84006075PCT7847","7847","Pct 7847/7846","NOE VALLEY",0.5
"84006075PCT7848","7848",NA,"NOE VALLEY",NA
"84006075PCT7849","7849",NA,"NOE VALLEY",NA
"84006075PCT7851","7851",NA,"DIAMD HTS",NA
"84006075PCT7852","7852","Pct 7852/7851","DIAMD HTS",0.36
"84006075PCT7853","7853",NA,"DIAMD HTS",NA
"84006075PCT7854","7854",NA,"NOE VALLEY",NA
"84006075PCT7855","7855","Pct 7855/7854","NOE VALLEY",0.43
"84006075PCT7856","7856","Pct 7856/7857","NOE VALLEY",0.53
"84006075PCT7857","7857",NA,"NOE VALLEY",NA
"84006075PCT7858","7858",NA,"MISSION",NA
"84006075PCT7859","7859","Pct 7859/7853","DIAMD HTS",0.42
"84006075PCT7861","7861","Pct 7861/7862","DIAMD HTS",0.48
"84006075PCT7862","7862",NA,"NOE VALLEY",NA
"84006075PCT7863","7863","Pct 7863","NOE VALLEY",0.53
"84006075PCT7864","7864","Pct 7864/7869","NOE VALLEY",0.45
"84006075PCT7865","7865","Pct 7865/7873","NOE VALLEY",0.54
"84006075PCT7866","7866","Pct 7866","DIAMD HTS",0.37
"84006075PCT7867","7867","Pct 7867/7868","DIAMD HTS",0.43
"84006075PCT7868","7868",NA,"DIAMD HTS",NA
"84006075PCT7869","7869",NA,"S BERNAL HTS",NA
"84006075PCT7871","7871","Pct 7871","DIAMD HTS",0.4
"84006075PCT7872","7872","Pct 7872","S BERNAL HTS",0.47
"84006075PCT7873","7873",NA,"S BERNAL HTS",NA
"84006075PCT7874","7874","Pct 7874","S BERNAL HTS",0.44
"84006075PCT7875","7875","Pct 7875","S BERNAL HTS",0.52
"84006075PCT7901","7901",NA,"MISSION",NA
"84006075PCT7902","7902","Pct 7902/7901","MISSION",0.65
"84006075PCT7903","7903","Pct 7903","MISSION",0.58
"84006075PCT7904","7904","Pct 7904","MISSION",0.61
"84006075PCT7905","7905","Pct 7905","MISSION",0.57
"84006075PCT7906","7906","Pct 7906","MISSION",0.64
"84006075PCT7907","7907","Pct 7907/7908","MISSION",0.61
"84006075PCT7908","7908",NA,"MISSION",NA
"84006075PCT7909","7909","Pct 7909/7911","MISSION",0.62
"84006075PCT7911","7911",NA,"MISSION",NA
"84006075PCT7912","7912","Pct 7912","MISSION",0.6
"84006075PCT7913","7913","Pct 7913","MISSION",0.63
"84006075PCT7914","7914",NA,"MISSION",NA
"84006075PCT7915","7915","Pct 7915/7914","MISSION",0.61
"84006075PCT7916","7916","Pct 7916","MISSION",0.64
"84006075PCT7917","7917","Pct 7917/7918","MISSION",0.55
"84006075PCT7918","7918",NA,"MISSION",NA
"84006075PCT7919","7919","Pct 7919","MISSION",0.61
"84006075PCT7921","7921",NA,"MISSION",NA
"84006075PCT7922","7922","Pct 7922/7921","MISSION",0.63
"84006075PCT7923","7923",NA,"MISSION",NA
"84006075PCT7924","7924","Pct 7924/7923","MISSION",0.6
"84006075PCT7925","7925","Pct 7925","N BERNAL HTS",0.65
"84006075PCT7926","7926","Pct 7926","N BERNAL HTS",0.57
"84006075PCT7927","7927","Pct 7927/7928","N BERNAL HTS",0.53
"84006075PCT7928","7928",NA,"N BERNAL HTS",NA
"84006075PCT7929","7929",NA,"N BERNAL HTS",NA
"84006075PCT7931","7931","Pct 7931","N BERNAL HTS",0.5
"84006075PCT7932","7932","Pct 7932","N BERNAL HTS",0.47
"84006075PCT7933","7933","Pct 7933 MB","BAYVW/HTRSPT",NA
"84006075PCT7934","7934","Pct 7934","N BERNAL HTS",0.58
"84006075PCT7935","7935","Pct 7935/7929","N BERNAL HTS",0.52
"84006075PCT7936","7936","Pct 7936","N BERNAL HTS",0.59
"84006075PCT7937","7937","Pct 7937","N BERNAL HTS",0.58
"84006075PCT7938","7938",NA,"S BERNAL HTS",NA
"84006075PCT7939","7939","Pct 7939/7941","S BERNAL HTS",0.47
"84006075PCT7941","7941",NA,"S BERNAL HTS",NA
"84006075PCT7942","7942","Pct 7942","S BERNAL HTS",0.52
"84006075PCT7943","7943","Pct 7943","S BERNAL HTS",0.46
"84006075PCT7944","7944","Pct 7944/7938","S BERNAL HTS",0.57
"84006075PCT7945","7945","Pct 7945","S BERNAL HTS",0.6
"84006075PCT7946","7946","Pct 7946/7948","PORTOLA",0.46
"84006075PCT7947","7947","Pct 7947","PORTOLA",0.44
"84006075PCT7948","7948",NA,"PORTOLA",NA
"84006075PCT7949","7949",NA,"PORTOLA",NA
"84006075PCT7951","7951",NA,"PORTOLA",NA
"84006075PCT7952","7952","Pct 7952/7951","PORTOLA",0.49
"84006075PCT7953","7953","Pct 7953/7949","PORTOLA",0.52
"84006075PCT7954","7954",NA,"VISITA VLY",NA
"84006075PCT7955","7955","Pct 7955","PORTOLA",0.4
"84006075PCT7956","7956","Pct 7956","PORTOLA",0.38
"84006075PCT7957","7957","Pct 7957","PORTOLA",0.42
"84006075PCT7958","7958","Pct 7958 MB","PORTOLA",0
"84006075PCT9001","9001","Pct 9001 MB","VISITA VLY",0.5
"84006075PCT9101","9101","Pct 9101","RICHMOND",0.55
"84006075PCT9102","9102","Pct 9102","RICHMOND",0.49
"84006075PCT9103","9103","Pct 9103/9104","RICHMOND",0.55
"84006075PCT9104","9104",NA,"RICHMOND",NA
"84006075PCT9105","9105",NA,"SECLF/PREHTS",NA
"84006075PCT9106","9106",NA,"SECLF/PREHTS",NA
"84006075PCT9107","9107","Pct 9107/9105","RICHMOND",0.56
"84006075PCT9108","9108","Pct 9108/9111","RICHMOND",0.55
"84006075PCT9109","9109","Pct 9109/9106","RICHMOND",0.49
"84006075PCT9111","9111",NA,"RICHMOND",NA
"84006075PCT9112","9112",NA,"RICHMOND",NA
"84006075PCT9113","9113","Pct 9113","SECLF/PREHTS",0.48
"84006075PCT9114","9114","Pct 9114/9112","RICHMOND",0.56
"84006075PCT9115","9115",NA,"RICHMOND",NA
"84006075PCT9116","9116","Pct 9116/9115","RICHMOND",0.53
"84006075PCT9117","9117","Pct 9117/9118","RICHMOND",0.44
"84006075PCT9118","9118",NA,"RICHMOND",NA
"84006075PCT9119","9119",NA,"RICHMOND",NA
"84006075PCT9121","9121","Pct 9121/9119","RICHMOND",0.51
"84006075PCT9122","9122","Pct 9122/9139","RICHMOND",0.5
"84006075PCT9123","9123","Pct 9123/9124","RICHMOND",0.56
"84006075PCT9124","9124",NA,"RICHMOND",NA
"84006075PCT9125","9125","Pct 9125","RICHMOND",0.56
"84006075PCT9126","9126","Pct 9126/9144","RICHMOND",0.52
"84006075PCT9127","9127","Pct 9127","RICHMOND",0.45
"84006075PCT9128","9128","Pct 9128/9129","RICHMOND",0.5
"84006075PCT9129","9129",NA,"RICHMOND",NA
"84006075PCT9131","9131","Pct 9131/9132","RICHMOND",0.53
"84006075PCT9132","9132",NA,"RICHMOND",NA
"84006075PCT9133","9133","Pct 9133","RICHMOND",0.47
"84006075PCT9134","9134","Pct 9134","LRL HTS/ANZA",0.46
"84006075PCT9135","9135","Pct 9135","RICHMOND",0.41
"84006075PCT9136","9136","Pct 9136","RICHMOND",0.56
"84006075PCT9137","9137","Pct 9137/9138","RICHMOND",0.5
"84006075PCT9138","9138",NA,"RICHMOND",NA
"84006075PCT9139","9139",NA,"RICHMOND",NA
"84006075PCT9141","9141","Pct 9141","RICHMOND",0.53
"84006075PCT9142","9142","Pct 9142/9143","RICHMOND",0.55
"84006075PCT9143","9143",NA,"RICHMOND",NA
"84006075PCT9144","9144",NA,"RICHMOND",NA
"84006075PCT9145","9145",NA,"RICHMOND",NA
"84006075PCT9146","9146","Pct 9146/9145","RICHMOND",0.55
"84006075PCT9147","9147",NA,"RICHMOND",NA
"84006075PCT9148","9148","Pct 9148/9147","RICHMOND",0.48
"84006075PCT9149","9149",NA,"LRL HTS/ANZA",NA
"84006075PCT9151","9151","Pct 9151","LRL HTS/ANZA",0.4
"84006075PCT9152","9152","Pct 9152/9149","LRL HTS/ANZA",0.54
"84006075PCT9201","9201","Pct 9201","MAR/PAC HTS",0.61
