"id","municipality_name","entitled_to_vote","turnout","yes","no","yes_percentage"
75602470931,"Homberg",384,64.8,175,74,70.3
75602470932,"Horrenbach-Buchen",182,61.5,101,11,90.2
75602440954,"Huttwil",3563,55.6,958,1024,48.3
75602460541,"Iffwil",329,63.2,100,108,48.1
75602440980,"Inkwil",521,68.5,204,153,57.1
75602500784,"Innertkirchen",847,53.8,271,185,59.4
75602430496,"Ins",2271,65.5,600,887,40.3
75602500581,"Interlaken",3510,58.1,823,1216,40.4
75602420739,"Ipsach",2935,67.1,756,1214,38.4
75602500582,"Iseltwald",329,59,118,76,60.8
75602460362,"Ittigen",7567,61.1,1547,3078,33.4
75602460868,"Jaberg",NA,NA,NA,NA,NA
75602460540,"Jegenstorf",4175,67.6,998,1826,35.3
75602430738,"Jens",540,68.5,165,205,44.6
75602430304,"Kallnach",1482,59.4,447,434,50.7
75602490564,"Kandergrund",619,57.5,246,110,69.1
75602490565,"Kandersteg",922,59.4,260,288,47.4
75602430305,"Kappelen",997,62.3,323,298,52
75602460869,"Kaufdorf",779,69.8,209,335,38.4
75602460870,"Kehrsatz",2699,66.8,592,1210,32.9
75602450411,"Kernenried",401,60.8,139,105,57
75602460611,"Kiesen",691,63,211,224,48.5
75602450412,"Kirchberg (BE)",4175,60.7,1046,1489,41.3
75602460872,"Kirchdorf (BE)",1196,64.9,383,393,49.4
75602460873,"Kirchenthurnen",229,59.8,75,60,55.6
75602460354,"Kirchlindach",2250,75.2,548,1144,32.4
75602460355,"Köniz",27848,66.3,5253,13205,28.5
75602460612,"Konolfingen",4021,63,1114,1420,44
75602450413,"Koppigen",1649,58,440,517,46
75602490566,"Krattigen",875,61.1,219,316,40.9
75602450414,"Krauchthal",1895,58.4,600,507,54.2
75602460666,"Kriechenwil",348,59.8,102,106,49
75602410435,"La Ferrière",414,44.4,64,120,34.8
75602410723,"La Neuveville",2602,57.3,442,1048,29.7
75602460613,"Landiswil",541,60.4,213,114,65.1
75602440329,"Langenthal",10360,58.4,2187,3865,36.1
75602450902,"Langnau im Emmental",7342,55.3,1674,2387,41.2
75602480842,"Lauenen",612,55.7,200,141,58.7
75602460667,"Laupen",2266,60.3,478,889,35
75602450903,"Lauperswil",2195,52.8,716,443,61.8
75602500584,"Lauterbrunnen",1624,55.5,430,471,47.7
75602500585,"Leissigen",771,56.5,230,206,52.8
75602420387,"Lengnau (BE)",3279,53.5,835,918,47.6
75602480792,"Lenk",1829,59.9,660,435,60.3
75602430388,"Leuzigen",952,58.5,286,271,51.3
75602420740,"Ligerz",425,72.2,90,217,29.3
75602460614,"Linden",1034,55,396,173,69.6
75602460874,"Lohnstorf",171,65.5,53,59,47.3
75602440331,"Lotzwil",1706,58.6,421,579,42.1
75602410696,"Loveresse",246,56.5,76,63,54.7
75602430497,"Lüscherz",417,59.2,137,110,55.5
75602500586,"Lütschental",195,50.3,69,29,70.4
75602450955,"Lützelflüh",3240,56.3,985,840,54
75602430306,"Lyss",10062,57.1,2259,3487,39.3
75602450415,"Lyssach",1102,60.8,343,327,51.2
75602440332,"Madiswil",2554,59.7,752,772,49.3
75602500587,"Matten bei Interlaken",2789,57.6,714,892,44.5
75602460543,"Mattstetten",467,70.7,148,182,44.8
75602430389,"Meienried",NA,NA,NA,NA,NA
75602460307,"Meikirch",1945,70.4,453,917,33.1
75602420390,"Meinisberg",960,56.7,268,276,49.3
75602500785,"Meiringen",3288,58.5,879,1046,45.7
75602440333,"Melchnau",1122,55.3,326,295,52.5
75602430741,"Merzligen",332,66,86,133,39.3
75602460615,"Mirchel",477,55.8,156,110,58.6
75602410437,"Mont-Tramelan",111,56.8,24,38,38.7
75602460544,"Moosseedorf",2733,59.1,673,941,41.7
75602420742,"Mörigen",670,69.9,232,236,49.6
75602450416,"Mötschwil",254,54.7,67,72,48.2
75602410700,"Moutier",4678,54.5,1021,1530,40
75602460668,"Mühleberg",2236,62.3,645,747,46.3
75602460875,"Mühledorf (BE)",182,69.2,53,73,42.1
75602460876,"Mühlethurnen",1097,67.6,272,470,36.7
75602460546,"Münchenbuchsee",6984,60.4,1446,2772,34.3
75602460669,"Münchenwiler",386,56.2,108,109,49.8
75602460616,"Münsingen",8786,67.6,2004,3935,33.7
75602430498,"Müntschemier",786,63.5,271,226,54.5
75602460356,"Muri bei Bern",9450,71.2,1855,4878,27.6
75602460670,"Neuenegg",3836,60.6,1135,1189,48.8
75602420743,"Nidau",4543,54.6,813,1668,32.8
75602440981,"Niederbipp",2963,54.2,899,708,55.9
75602460617,"Niederhünigen",492,65.2,139,182,43.3
75602460877,"Niedermuhlern",NA,NA,NA,NA,NA
75602440982,"Niederönz",1218,64.2,345,437,44.1
75602500588,"Niederried bei Interlaken",267,58.1,79,76,51
75602410724,"Nods",570,48.8,138,140,49.6
75602460878,"Noflen",NA,NA,NA,NA,NA
75602460357,"Oberbalm",700,60.1,249,172,59.1
75602440983,"Oberbipp",1184,59.5,398,306,56.5
75602450418,"Oberburg",2018,55.9,569,556,50.6
75602460619,"Oberdiessbach",2704,62.9,855,847,50.2
75602470934,"Oberhofen am Thunersee",1878,70.8,525,805,39.5
75602460629,"Oberhünigen",234,60.3,88,52,62.9
75602470935,"Oberlangenegg",384,58.9,171,55,75.7
75602500589,"Oberried am Brienzersee",357,53.2,98,92,51.6
75602440334,"Obersteckholz",338,60.7,118,87,57.6
75602460620,"Oberthal",623,53,198,132,60
75602490766,"Oberwil im Simmental",680,61.2,290,126,69.7
75602430391,"Oberwil bei Büren",646,58.8,200,180,52.6
75602440985,"Ochlenberg",485,64.5,151,162,48.2
75602440335,"Oeschenbach",202,54,66,41,61.7
75602460622,"Oppligen",519,55.3,149,138,51.9
75602420744,"Orpund",1869,56.3,516,537,49
75602410438,"Orvin",902,53.8,212,273,43.7
75602460363,"Ostermundigen",10304,57.1,2005,3875,34.1
75602410701,"Perrefitte",306,59.2,97,84,53.6
75602410450,"Péry-La Heutte",1339,51.1,320,364,46.8
75602410716,"Petit-Val",303,69,113,96,54.1
75602420392,"Pieterlen",2475,50.2,627,615,50.5
75602410726,"Plateau de Diesse",1508,56.2,331,516,39.1
75602470936,"Pohlern",200,57.5,78,37,67.8
75602420745,"Port",2586,59.7,665,878,43.1
75602430309,"Radelfingen",1016,62.5,292,343,46
75602430310,"Rapperswil (BE)",2084,59.1,598,633,48.6
75602410715,"Rebévelier",35,57.1,11,9,55
75602410703,"Reconvilier",1492,56.1,430,407,51.4
75602490567,"Reichenbach im Kandertal",2803,57.5,1073,538,66.6
75602440336,"Reisiswil",155,56.8,55,33,62.5
75602410441,"Renan (BE)",679,52.4,154,202,43.3
75602470767,"Reutigen",786,64.2,289,213,57.6
75602460879,"Riggisberg",1912,57,610,479,56
75602500590,"Ringgenberg (BE)",2030,54.9,566,549,50.8
75602410704,"Roches (BE)",161,44.1,47,22,68.1
75602440337,"Roggwil (BE)",2734,58.2,760,830,47.8
75602440338,"Rohrbach",1182,51.5,353,256,58
75602440339,"Rohrbachgraben",296,61.1,117,64,64.6
75602410442,"Romont (BE)",153,64.7,53,46,53.5
75602450904,"Röthenbach im Emmental",1011,52.2,396,132,75
75602460623,"Rubigen",2248,65.6,520,955,35.3
75602450905,"Rüderswil",1934,54,619,426,59.2
75602450420,"Rüdtligen-Alchenflüh",1536,51.7,385,409,48.5
75602460880,"Rüeggisberg",1494,56,492,344,58.9
75602450956,"Rüegsau",2590,58.4,785,727,51.9
75602450421,"Rumendingen",64,71.9,23,23,50
75602440987,"Rumisberg",381,67.5,159,98,61.9
75602460881,"Rümligen",354,65.8,118,113,51.1
75602460853,"Rüschegg",1406,50.4,405,303,57.2
75602430393,"Rüti bei Büren",666,55.9,195,177,52.4
75602450422,"Rüti bei Lyssach",NA,NA,NA,NA,NA
75602440340,"Rütschelen",441,59.9,142,122,53.8
75602480843,"Saanen",4416,57.2,1227,1298,48.6
75602420746,"Safnern",1478,61.2,456,449,50.4
75602410706,"Saicourt",467,56.7,146,119,55.1
75602410443,"Saint-Imier",3021,46.7,548,863,38.8
75602410449,"Sauge",612,55.2,153,185,45.3
75602410707,"Saules (BE)",124,64.5,54,24,69.2
