"id","municipality_number","municipality_name","district_number","canton_code","gdekt","gdebznr","gdenr","gdename","gdenamk","gdebzna","gdektna","gdemutdat"
75602500574,574,"Brienzwiler",250,"BE","BE",250,574,"Brienzwiler","Brienzwiler","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602470923,923,"Buchholterberg",247,"BE","BE",247,923,"Buchholterberg","Buchholterberg","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602450404,404,"Burgdorf",245,"BE","BE",245,404,"Burgdorf","Burgdorf","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602470863,863,"Burgistein",247,"BE","BE",247,863,"Burgistein","Burgistein","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602440325,325,"Busswil bei Melchnau",244,"BE","BE",244,325,"Busswil bei Melchnau","Busswil bei Melchnau","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602410683,683,"Champoz",241,"BE","BE",241,683,"Champoz","Champoz","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602460661,661,"Clavaleyres",246,"BE","BE",246,661,"Clavaleyres","Clavaleyres","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602410687,687,"Corcelles (BE)",241,"BE","BE",241,687,"Corcelles (BE)","Corcelles (BE)","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602410431,431,"Corgémont",241,"BE","BE",241,431,"Corgémont","Corgémont","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602410432,432,"Cormoret",241,"BE","BE",241,432,"Cormoret","Cormoret","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602410433,433,"Cortébert",241,"BE","BE",241,433,"Cortébert","Cortébert","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602410690,690,"Court",241,"BE","BE",241,690,"Court","Court","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602410434,434,"Courtelary",241,"BE","BE",241,434,"Courtelary","Courtelary","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602410691,691,"Crémines",241,"BE","BE",241,691,"Crémines","Crémines","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602500575,575,"Därligen",250,"BE","BE",250,575,"Därligen","Därligen","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602450952,952,"Dürrenroth",245,"BE","BE",245,952,"Dürrenroth","Dürrenroth","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602490761,761,"Därstetten",249,"BE","BE",249,761,"Därstetten","Därstetten","Verwaltungskreis Frutigen-Niedersimmental","Bern / Berne","2010-01-01"
75602460535,535,"Deisswil bei Münchenbuchsee",246,"BE","BE",246,535,"Deisswil bei Münchenbuchsee","Deisswil b. Münchenbuch.","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460536,536,"Diemerswil",246,"BE","BE",246,536,"Diemerswil","Diemerswil","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602490762,762,"Diemtigen",249,"BE","BE",249,762,"Diemtigen","Diemtigen","Verwaltungskreis Frutigen-Niedersimmental","Bern / Berne","2010-01-01"
75602430385,385,"Diessbach bei Büren",243,"BE","BE",243,385,"Diessbach bei Büren","Diessbach bei Büren","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602430386,386,"Dotzigen",243,"BE","BE",243,386,"Dotzigen","Dotzigen","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602450901,901,"Eggiwil",245,"BE","BE",245,901,"Eggiwil","Eggiwil","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602430735,735,"Epsach",243,"BE","BE",243,735,"Epsach","Epsach","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602440953,953,"Eriswil",244,"BE","BE",244,953,"Eriswil","Eriswil","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602470924,924,"Eriz",247,"BE","BE",247,924,"Eriz","Eriz","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602430492,492,"Erlach",243,"BE","BE",243,492,"Erlach","Erlach","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602490763,763,"Erlenbach im Simmental",249,"BE","BE",249,763,"Erlenbach im Simmental","Erlenbach im Simmental","Verwaltungskreis Frutigen-Niedersimmental","Bern / Berne","2010-01-01"
75602450405,405,"Ersigen",245,"BE","BE",245,405,"Ersigen","Ersigen","Verwaltungskreis Emmental","Bern / Berne","2016-01-01"
75602410692,692,"Eschert",241,"BE","BE",241,692,"Eschert","Eschert","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602420372,372,"Evilard",242,"BE","BE",242,372,"Evilard","Evilard","Verwaltungskreis Biel/Bienne","Bern / Berne","2010-01-01"
75602470925,925,"Fahrni",247,"BE","BE",247,925,"Fahrni","Fahrni","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602440975,975,"Farnern",244,"BE","BE",244,975,"Farnern","Farnern","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602460662,662,"Ferenbalm",246,"BE","BE",246,662,"Ferenbalm","Ferenbalm","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602430493,493,"Finsterhennen",243,"BE","BE",243,493,"Finsterhennen","Finsterhennen","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
