"municipality_name","id","entitled_to_vote","turnout","yes_m","no_m","yes_m_pct","no_m_pct","yes_e","no_e","yes_e_pct","no_e_pct","yes_f","no_f","yes_f_pct","no_f_pct","yes_r","no_r","yes_r_pct","no_r_pct"
"Niederhünigen",75602460617,492,65.2,153,157,49.4,50.6,139,182,43.3,56.7,125,181,40.8,59.2,187,130,59,41
"Niedermuhlern",75602460877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Niederönz",75602440982,1218,64.2,374,396,48.6,51.4,345,437,44.1,55.9,301,461,39.5,60.5,462,306,60.2,39.8
"Niederried ",NA,267,58.1,68,80,45.9,54.1,79,76,51,49,54,92,37,63,104,49,68,32
"Niederried bei Interlaken",75602500588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nods",75602410724,570,48.8,149,125,54.4,45.6,138,140,49.6,50.4,118,145,44.9,55.1,157,117,57.3,42.7
"Noflen",75602460878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oberbalm",75602460357,700,60.1,223,193,53.6,46.4,249,172,59.1,40.9,168,233,41.9,58.1,272,147,64.9,35.1
"Oberbipp",75602440983,1184,59.5,370,327,53.1,46.9,398,306,56.5,43.5,251,441,36.3,63.7,493,208,70.3,29.7
"Oberburg",75602450418,2018,55.9,589,529,52.7,47.3,569,556,50.6,49.4,403,702,36.5,63.5,724,405,64.1,35.9
"Oberdiessbach",75602460619,2704,62.9,885,793,52.7,47.3,855,847,50.2,49.8,622,1031,37.6,62.4,1038,637,62,38
"Oberhofen ",NA,1878,70.8,591,719,45.1,54.9,525,805,39.5,60.5,447,857,34.3,65.7,810,505,61.6,38.4
"Oberhofen am Thunersee",75602470934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oberhünigen",75602460629,234,60.3,87,49,64,36,88,52,62.9,37.1,58,80,42,58,94,47,66.7,33.3
"Oberlangenegg",75602470935,384,58.9,163,58,73.8,26.2,171,55,75.7,24.3,55,163,25.2,74.8,164,57,74.2,25.8
"Oberried ",NA,357,53.2,93,93,50,50,98,92,51.6,48.4,86,101,46,54,112,77,59.3,40.7
"Oberried am Brienzersee",75602500589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Obersteckholz",75602440334,338,60.7,107,95,53,47,118,87,57.6,42.4,85,114,42.7,57.3,139,65,68.1,31.9
"Oberthal",75602460620,623,53,181,147,55.2,44.8,198,132,60,40,139,186,42.8,57.2,187,130,59,41
"Oberwil ",NA,680,61.2,249,152,62.1,37.9,290,126,69.7,30.3,124,280,30.7,69.3,295,119,71.3,28.7
"Oberwil bei Büren",75602430391,646,58.8,186,188,49.7,50.3,200,180,52.6,47.4,141,232,37.8,62.2,239,140,63.1,36.9
"Oberwil im Simmental",75602490766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ochlenberg",75602440985,485,64.5,179,129,58.1,41.9,151,162,48.2,51.8,124,182,40.5,59.5,176,133,57,43
"Oeschenbach",75602440335,202,54,62,47,56.9,43.1,66,41,61.7,38.3,62,47,56.9,43.1,68,41,62.4,37.6
"Oppligen",75602460622,519,55.3,148,131,53,47,149,138,51.9,48.1,92,182,33.6,66.4,166,112,59.7,40.3
"Orpund",75602420744,1869,56.3,584,443,56.9,43.1,516,537,49,51,438,584,42.9,57.1,738,306,70.7,29.3
"Orvin",75602410438,902,53.8,277,201,57.9,42.1,212,273,43.7,56.3,231,241,48.9,51.1,267,209,56.1,43.9
"Ostermundigen",75602460363,10304,57.1,2524,3256,43.7,56.3,2005,3875,34.1,65.9,2368,3321,41.6,58.4,3390,2431,58.2,41.8
"Perrefitte",75602410701,306,59.2,120,55,68.6,31.4,97,84,53.6,46.4,90,84,51.7,48.3,116,63,64.8,35.2
"Péry-La Heutte",75602410450,1339,51.1,374,307,54.9,45.1,320,364,46.8,53.2,301,358,45.7,54.3,395,281,58.4,41.6
"Petit-Val",75602410716,303,69,129,77,62.6,37.4,113,96,54.1,45.9,103,100,50.7,49.3,117,91,56.3,43.8
"Pieterlen",75602420392,2475,50.2,721,507,58.7,41.3,627,615,50.5,49.5,517,699,42.5,57.5,801,435,64.8,35.2
"Plateau de Diesse",75602410726,1508,56.2,477,354,57.4,42.6,331,516,39.1,60.9,405,401,50.2,49.8,478,357,57.2,42.8
"Pohlern",75602470936,200,57.5,65,46,58.6,41.4,78,37,67.8,32.2,39,75,34.2,65.8,85,28,75.2,24.8
"Port",75602420745,2586,59.7,747,790,48.6,51.4,665,878,43.1,56.9,498,1021,32.8,67.2,990,548,64.4,35.6
"Radelfingen",75602430309,1016,62.5,298,329,47.5,52.5,292,343,46,54,256,360,41.6,58.4,359,273,56.8,43.2
"Rapperswil ",NA,2084,59.1,645,570,53.1,46.9,598,633,48.6,51.4,433,780,35.7,64.3,784,442,63.9,36.1
"Rapperswil (BE)",75602430310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rebévelier",75602410715,35,57.1,9,11,45,55,11,9,55,45,13,6,68.4,31.6,10,10,50,50
"Reconvilier",75602410703,1492,56.1,556,275,66.9,33.1,430,407,51.4,48.6,350,452,43.6,56.4,495,325,60.4,39.6
"Reichenbach ",NA,2803,57.5,910,665,57.8,42.2,1073,538,66.6,33.4,536,1002,34.9,65.1,1013,573,63.9,36.1
"Reichenbach im Kandertal",75602490567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reisiswil",75602440336,155,56.8,56,31,64.4,35.6,55,33,62.5,37.5,29,54,34.9,65.1,64,24,72.7,27.3
"Renan ",NA,679,52.4,189,163,53.7,46.3,154,202,43.3,56.7,179,157,53.3,46.7,181,174,51,49
"Renan (BE)",75602410441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reutigen",75602470767,786,64.2,280,222,55.8,44.2,289,213,57.6,42.4,165,330,33.3,66.7,359,146,71.1,28.9
"Riggisberg",75602460879,1912,57,605,474,56.1,43.9,610,479,56,44,403,656,38.1,61.9,705,377,65.2,34.8
"Ringgenberg ",NA,2030,54.9,570,527,52,48,566,549,50.8,49.2,451,637,41.5,58.5,674,441,60.4,39.6
"Ringgenberg (BE)",75602500590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roches",NA,161,44.1,50,19,72.5,27.5,47,22,68.1,31.9,35,26,57.4,42.6,45,26,63.4,36.6
"Roches (BE)",75602410704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roggwil (BE)",75602440337,2734,58.2,809,756,51.7,48.3,760,830,47.8,52.2,612,935,39.6,60.4,955,621,60.6,39.4
"Rohrbach",75602440338,1182,51.5,341,259,56.8,43.2,353,256,58,42,243,354,40.7,59.3,406,202,66.8,33.2
"Rohrbachgraben",75602440339,296,61.1,119,61,66.1,33.9,117,64,64.6,35.4,59,117,33.5,66.5,101,74,57.7,42.3
"Romont ",NA,153,64.7,60,34,63.8,36.2,53,46,53.5,46.5,40,54,42.6,57.4,61,37,62.2,37.8
"Romont (BE)",75602410442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Röthenbach im Emmental",75602450904,1011,52.2,343,177,66,34,396,132,75,25,185,333,35.7,64.3,390,135,74.3,25.7
"Rubigen",75602460623,2248,65.6,645,805,44.5,55.5,520,955,35.3,64.7,513,428,54.5,45.5,864,590,59.4,40.6
"Rüderswil",75602450905,1934,54,516,506,50.5,49.5,619,426,59.2,40.8,356,650,35.4,64.6,694,345,66.8,33.2
"Rüdtligen-Alchenflüh",75602450420,1536,51.7,380,405,48.4,51.6,385,409,48.5,51.5,241,531,31.2,68.8,538,251,68.2,31.8
"Rüeggisberg",75602460880,1494,56,431,392,52.4,47.6,492,344,58.9,41.1,355,454,43.9,56.1,507,319,61.4,38.6
"Rüegsau",75602450956,2590,58.4,837,666,55.7,44.3,785,727,51.9,48.1,503,983,33.8,66.2,1010,501,66.8,33.2
"Rumendingen",75602450421,64,71.9,25,21,54.3,45.7,23,23,50,50,11,34,24.4,75.6,29,15,65.9,34.1
"Rumisberg",75602440987,381,67.5,144,111,56.5,43.5,159,98,61.9,38.1,91,164,35.7,64.3,193,64,75.1,24.9
"Rümligen",75602460881,354,65.8,124,109,53.2,46.8,118,113,51.1,48.9,108,125,46.4,53.6,145,88,62.2,37.8
"Rüschegg",75602460853,1406,50.4,376,325,53.6,46.4,405,303,57.2,42.8,335,350,48.9,51.1,455,244,65.1,34.9
"Rüti bei Büren",75602430393,666,55.9,166,192,46.4,53.6,195,177,52.4,47.6,135,217,38.4,61.6,250,119,67.8,32.2
"Rüti bei Lyssach",75602450422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rütschelen",75602440340,441,59.9,127,130,49.4,50.6,142,122,53.8,46.2,88,172,33.8,66.2,167,90,65,35
"Saanen",75602480843,4416,57.2,1221,1263,49.2,50.8,1227,1298,48.6,51.4,763,1668,31.4,68.6,1826,674,73,27
"Safnern",75602420746,1478,61.2,470,423,52.6,47.4,456,449,50.4,49.6,327,563,36.7,63.3,661,239,73.4,26.6
"Saicourt",75602410706,467,56.7,169,92,64.8,35.2,146,119,55.1,44.9,109,144,43.1,56.9,167,94,64,36
"Saint-Imier",75602410443,3021,46.7,736,647,53.2,46.8,548,863,38.8,61.2,632,717,46.8,53.2,762,636,54.5,45.5
"Sauge",75602410449,612,55.2,181,140,56.4,43.6,153,185,45.3,54.7,144,169,46,54,181,152,54.4,45.6
"Saules ",NA,124,64.5,46,32,59,41,54,24,69.2,30.8,40,34,54.1,45.9,47,33,58.8,41.3
"Saules (BE)",75602410707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saxeten",75602500591,96,45.8,25,18,58.1,41.9,30,13,69.8,30.2,29,15,65.9,34.1,31,13,70.5,29.5
"Schangnau",75602450906,769,57.5,309,120,72,28,347,95,78.5,21.5,99,330,23.1,76.9,345,87,79.9,20.1
"Schattenhalb",75602500786,436,54.1,100,136,42.4,57.6,140,96,59.3,40.7,63,169,27.2,72.8,181,54,77,23
"Schelten",75602410708,63,33.3,9,6,60,40,12,9,57.1,42.9,14,6,70,30,7,13,35,65
"Scheuren",75602420747,352,69.6,154,87,63.9,36.1,123,122,50.2,49.8,111,131,45.9,54.1,163,81,66.8,33.2
"Schlosswil",75602460624,512,61.5,149,163,47.8,52.2,145,170,46,54,140,174,44.6,55.4,195,120,61.9,38.1
"Schüpfen",75602430311,2892,59.9,768,932,45.2,54.8,690,1042,39.8,60.2,710,981,42,58,1005,713,58.5,41.5
"Schwadernau",75602420748,497,59.2,150,141,51.5,48.5,156,138,53.1,46.9,99,183,35.1,64.9,215,75,74.1,25.9
"Schwanden bei Brienz",75602500592,485,61.4,137,155,46.9,53.1,134,164,45,55,112,176,38.9,61.1,184,114,61.7,38.3
"Schwarzenburg",75602460855,5531,57,1510,1598,48.6,51.4,1470,1682,46.6,53.4,1310,1735,43,57,1862,1267,59.5,40.5
"Schwarzhäusern",75602440341,412,61.7,131,123,51.6,48.4,147,105,58.3,41.7,94,155,37.8,62.2,167,84,66.5,33.5
"Schwendibach",75602470937,198,65.2,64,62,50.8,49.2,77,52,59.7,40.3,46,79,36.8,63.2,93,34,73.2,26.8
"Seeberg",75602440988,1269,58.1,340,390,46.6,53.4,373,364,50.6,49.4,308,428,41.8,58.2,424,310,57.8,42.2
"Seedorf ",NA,2379,63,800,684,53.9,46.1,764,735,51,49,566,914,38.2,61.8,977,522,65.2,34.8
"Seedorf (BE)",75602430312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seehof",75602410709,67,40.3,9,18,33.3,66.7,18,9,66.7,33.3,10,16,38.5,61.5,16,10,61.5,38.5
"Seftigen",75602470883,1705,58.9,547,448,55,45,498,506,49.6,50.4,372,608,38,62,616,379,61.9,38.1
"Signau",75602450907,2188,56.5,617,608,50.4,49.6,728,509,58.9,41.1,466,737,38.7,61.3,817,414,66.4,33.6
"Sigriswil",75602470938,3876,65.9,1374,1133,54.8,45.2,1559,997,61,39,917,1565,36.9,63.1,1668,868,65.8,34.2
"Siselen",75602430499,459,59.9,119,152,43.9,56.1,132,143,48,52,103,165,38.4,61.6,179,92,66.1,33.9
"Sonceboz-Sombeval",75602410444,1255,49.4,398,220,64.4,35.6,288,332,46.5,53.5,257,339,43.1,56.9,392,227,63.3,36.7
"Sonvilier",75602410445,877,47.1,255,152,62.7,37.3,190,223,46,54,203,195,51,49,231,178,56.5,43.5
"Sorvilier",75602410711,216,56,76,40,65.5,34.5,55,66,45.5,54.5,53,67,44.2,55.8,77,44,63.6,36.4
"Spiez",75602490768,9657,62.7,2954,3028,49.4,50.6,2579,3479,42.6,57.4,2428,3472,41.2,58.8,3280,2755,54.3,45.7
"St. Stephan",75602480793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St.Stephan",NA,1059,68.3,461,236,66.1,33.9,535,188,74,26,204,493,29.3,70.7,533,178,75,25
"Steffisburg",75602470939,11857,62.6,3712,3591,50.8,49.2,3305,4117,44.5,55.5,2801,4406,38.9,61.1,4524,2831,61.5,38.5
"Stettlen",75602460358,2312,66.7,657,874,42.9,57.1,536,1005,34.8,65.2,549,979,35.9,64.1,933,610,60.5,39.5
"Stocken-Höfen",75602470770,792,53.8,229,190,54.7,45.3,289,137,67.8,32.2,152,259,37,63,292,128,69.5,30.5
"Studen",NA,2122,55.2,645,515,55.6,44.4,558,614,47.6,52.4,447,699,39,61,790,376,67.8,32.2
"Studen (BE)",75602430749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sumiswald",75602450957,4117,52.5,1067,1080,49.7,50.3,1070,1091,49.5,50.5,764,1355,36.1,63.9,1386,761,64.6,35.4
"Sutz-Lattrigen",75602420750,1057,63.1,314,350,47.3,52.7,272,395,40.8,59.2,246,406,37.7,62.3,400,263,60.3,39.7
"Tägertschi",75602460625,301,69.8,90,114,44.1,55.9,102,108,48.6,51.4,73,131,35.8,64.2,121,85,58.7,41.3
"Täuffelen",75602430751,2094,64.4,661,657,50.2,49.8,619,729,45.9,54.1,493,815,37.7,62.3,840,497,62.8,37.2
"Tavannes",75602410713,2233,48.4,675,397,63,37,476,604,44.1,55.9,509,536,48.7,51.3,607,465,56.6,43.4
"Teuffenthal",NA,142,61.3,53,34,60.9,39.1,64,23,73.6,26.4,45,40,52.9,47.1,52,34,60.5,39.5
"Teuffenthal (BE)",75602470940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thierachern",75602470941,1836,64.4,692,479,59.1,40.9,651,532,55,45,445,704,38.7,61.3,781,402,66,34
"Thörigen",75602440989,851,57.3,249,223,52.8,47.2,280,208,57.4,42.6,133,341,28.1,71.9,337,142,70.4,29.6
"Thun",75602470942,32683,59.4,8883,10173,46.6,53.4,7850,11553,40.5,59.5,7596,11268,40.3,59.7,11347,7845,59.1,40.9
"Thunstetten",75602440342,2263,56,675,568,54.3,45.7,694,574,54.7,45.3,511,719,41.5,58.5,824,407,66.9,33.1
"Toffen",75602460884,1941,64.4,616,624,49.7,50.3,527,723,42.2,57.8,411,811,33.6,66.4,770,478,61.7,38.3
"Trachselwald",75602450958,795,54.5,247,174,58.7,41.3,263,170,60.7,39.3,175,246,41.6,58.4,264,167,61.3,38.7
"Tramelan",75602410446,3139,55.2,951,757,55.7,44.3,692,1041,39.9,60.1,862,796,52,48,939,760,55.3,44.7
"Treiten",75602430500,320,63.1,116,85,57.7,42.3,120,80,60,40,63,139,31.2,68.8,141,60,70.1,29.9
"Trub",75602450908,1328,43.7,321,228,58.5,41.5,389,191,67.1,32.9,257,288,47.2,52.8,346,219,61.2,38.8
"Trubschachen",75602450909,1116,54.9,306,295,50.9,49.1,313,300,51.1,48.9,239,350,40.6,59.4,384,222,63.4,36.6
"Tschugg",75602430501,301,66.1,83,116,41.7,58.3,66,133,33.2,66.8,75,121,38.3,61.7,113,82,57.9,42.1
"Twann-Tüscherz",75602420756,921,65.9,246,354,41,59,219,388,36.1,63.9,239,355,40.2,59.8,334,268,55.5,44.5
"Uebeschi",75602470943,521,59.7,191,120,61.4,38.6,209,102,67.2,32.8,115,186,38.2,61.8,184,127,59.2,40.8
"Uetendorf",75602470944,4701,60.4,1543,1269,54.9,45.1,1575,1263,55.5,44.5,1018,1708,37.3,62.7,1794,1008,64,36
"Unterlangenegg",75602470945,750,57.7,286,144,66.5,33.5,295,138,68.1,31.9,131,296,30.7,69.3,319,113,73.8,26.2
"Unterseen",75602500593,4086,61.4,1175,1307,47.3,52.7,1069,1439,42.6,57.4,903,1545,36.9,63.1,1493,992,60.1,39.9
"Ursenbach",75602440344,716,47.1,168,165,50.5,49.5,188,149,55.8,44.2,113,223,33.6,66.4,199,137,59.2,40.8
"Urtenen-Schönbühl",75602460551,4226,58.6,1147,1292,47,53,1029,1446,41.6,58.4,914,1488,38.1,61.9,1462,981,59.8,40.2
"Uttigen",75602470885,1501,58.8,469,405,53.7,46.3,419,463,47.5,52.5,340,521,39.5,60.5,538,340,61.3,38.7
"Utzenstorf",75602450552,3192,59.3,841,1024,45.1,54.9,840,1053,44.4,55.6,724,1139,38.9,61.1,1120,749,59.9,40.1
"Valbirse",75602410717,2656,55.9,950,526,64.4,35.6,743,742,50,50,574,834,40.8,59.2,920,552,62.5,37.5
"Vechigen",75602460359,4038,69.1,1300,1453,47.2,52.8,1099,1690,39.4,60.6,1049,1675,38.5,61.5,1646,1132,59.3,40.7
"Villeret",75602410448,640,55.5,212,134,61.3,38.7,149,206,42,58,195,150,56.5,43.5,186,167,52.7,47.3
"Vinelz",75602430502,651,69,218,221,49.7,50.3,175,274,39,61,152,290,34.4,65.6,279,169,62.3,37.7
"Wachseldorn",75602470946,180,67.8,95,25,79.2,20.8,93,29,76.2,23.8,31,88,26.1,73.9,95,25,79.2,20.8
"Wald (BE)",75602460888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wald und Niedermuhlern",NA,1340,61.6,415,402,50.8,49.2,370,455,44.8,55.2,335,466,41.8,58.2,493,324,60.3,39.7
"Walkringen",75602460626,1446,58,400,420,48.8,51.2,465,373,55.5,44.5,304,504,37.6,62.4,530,300,63.9,36.1
"Walliswil bei Niederbipp",75602440990,180,58.3,51,53,49,51,57,48,54.3,45.7,30,73,29.1,70.9,75,30,71.4,28.6
"Walliswil bei Wangen",75602440991,489,56,167,102,62.1,37.9,152,122,55.5,44.5,109,161,40.4,59.6,182,87,67.7,32.3
"Walperswil",75602430754,760,60.8,202,255,44.2,55.8,242,219,52.5,47.5,137,316,30.2,69.8,321,141,69.5,30.5
"Walterswil (BE)",75602440959,442,53.4,133,95,58.3,41.7,150,85,63.8,36.2,80,154,34.2,65.8,162,74,68.6,31.4
"Wangen an der Aare",75602440992,1642,58.6,469,481,49.4,50.6,464,499,48.2,51.8,332,602,35.5,64.5,667,284,70.1,29.9
"Wangenried",75602440993,340,60.3,112,88,56,44,105,100,51.2,48.8,91,111,45,55,134,70,65.7,34.3
"Wattenwil",75602470886,2270,59.9,801,546,59.5,40.5,751,609,55.2,44.8,555,767,42,58,859,491,63.6,36.4
"Wengi",75602430394,449,61.9,159,117,57.6,42.4,153,124,55.2,44.8,110,160,40.7,59.3,194,84,69.8,30.2
"Wichtrach",75602460632,3149,61.7,919,1004,47.8,52.2,852,1090,43.9,56.1,715,1171,37.9,62.1,1262,665,65.5,34.5
"Wiedlisbach",75602440995,1648,54.8,471,423,52.7,47.3,466,437,51.6,48.4,363,515,41.3,58.7,597,299,66.6,33.4
"Wiggiswil",75602460553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wiggiswil und Deisswil b.M.",NA,151,68.9,51,52,49.5,50.5,52,52,50,50,58,41,58.6,41.4,70,32,68.6,31.4
"Wilderswil",75602500594,1893,55.7,548,499,52.3,47.7,541,513,51.3,48.7,378,662,36.3,63.7,686,368,65.1,34.9
"Wiler bei Utzenstorf",75602450554,703,51.9,187,176,51.5,48.5,170,195,46.6,53.4,134,224,37.4,62.6,222,142,61,39
"Wileroltigen",75602460671,281,60.9,97,68,58.8,41.2,102,69,59.6,40.4,56,102,35.4,64.6,127,40,76,24
"Willadingen",75602450423,174,62.1,62,45,57.9,42.1,53,55,49.1,50.9,30,77,28,72,75,33,69.4,30.6
"Wimmis",75602490769,1839,60.4,595,495,54.6,45.4,665,445,59.9,40.1,384,693,35.7,64.3,756,338,69.1,30.9
"Wohlen",NA,6886,73.3,2034,2931,41,59,1535,3509,30.4,69.6,2114,2833,42.7,57.3,2610,2395,52.1,47.9
"Wohlen bei Bern",75602460360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wolfisberg",75602440996,151,60.3,50,40,55.6,44.4,52,39,57.1,42.9,31,58,34.8,65.2,58,33,63.7,36.3
"Worb",75602460627,8197,63.3,2363,2715,46.5,53.5,1888,3303,36.4,63.6,1990,3034,39.6,60.4,3045,2093,59.3,40.7
"Worben",75602430755,1693,60.7,551,468,54.1,45.9,522,505,50.8,49.2,394,605,39.4,60.6,677,350,65.9,34.1
"Wynau",75602440345,1084,52.6,308,256,54.6,45.4,305,265,53.5,46.5,212,349,37.8,62.2,357,210,63,37
"Wynigen",75602450424,1653,60.1,515,473,52.1,47.9,505,488,50.9,49.1,369,607,37.8,62.2,592,398,59.8,40.2
"Wyssachen",75602440960,968,57,317,227,58.3,41.7,342,210,62,38,220,318,40.9,59.1,367,175,67.7,32.3
"Zäziwil",75602460628,1247,59.5,390,343,53.2,46.8,349,393,47,53,268,453,37.2,62.8,435,300,59.2,40.8
"Zielebach",75602450556,265,55.5,68,77,46.9,53.1,84,63,57.1,42.9,61,83,42.4,57.6,96,50,65.8,34.2
"Zollikofen",75602460361,6858,65.2,1864,2547,42.3,57.7,1532,2937,34.3,65.7,1732,2632,39.7,60.3,2542,1893,57.3,42.7
"Zuzwil",NA,445,70.8,129,180,41.7,58.3,120,195,38.1,61.9,94,217,30.2,69.8,194,121,61.6,38.4
"Zuzwil (BE)",75602460557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zweisimmen",75602480794,2308,59.4,639,706,47.5,52.5,708,664,51.6,48.4,464,876,34.6,65.4,888,465,65.6,34.4
"Zwieselberg",75602470947,221,68.3,76,66,53.5,46.5,82,69,54.3,45.7,56,85,39.7,60.3,79,70,53,47
