"municipality_name","id","entitled_to_vote","turnout","yes_m","no_m","yes_m_pct","no_m_pct","yes_e","no_e","yes_e_pct","no_e_pct","yes_f","no_f","yes_f_pct","no_f_pct","yes_r","no_r","yes_r_pct","no_r_pct"
"Champoz",75602410683,127,74,70,23,75.3,24.7,60,33,64.5,35.5,30,64,31.9,68.1,71,23,75.5,24.5
"Clavaleyres",75602460661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corcelles (BE)",75602410687,170,60,77,25,75.5,24.5,64,36,64,36,46,53,46.5,53.5,71,25,74,26
"Corgémont",75602410431,1118,54.9,390,224,63.5,36.5,299,307,49.3,50.7,245,352,41,59,384,224,63.2,36.8
"Cormoret",75602410432,375,58.1,112,103,52.1,47.9,73,145,33.5,66.5,114,102,52.8,47.2,117,101,53.7,46.3
"Cortébert",75602410433,494,50.8,138,104,57,43,112,131,46.1,53.9,120,116,50.8,49.2,139,112,55.4,44.6
"Court",75602410690,1022,55.9,385,177,68.5,31.5,322,248,56.5,43.5,204,333,38,62,374,197,65.5,34.5
"Courtelary",75602410434,935,53.7,282,209,57.4,42.6,225,277,44.8,55.2,238,243,49.5,50.5,286,211,57.5,42.5
"Crémines",75602410691,398,55.3,138,75,64.8,35.2,110,110,50,50,116,90,56.3,43.7,118,102,53.6,46.4
"Därligen",75602500575,313,56.9,84,91,48,52,92,86,51.7,48.3,59,112,34.5,65.5,115,60,65.7,34.3
"Därstetten",75602490761,668,59.6,173,205,45.8,54.2,272,126,68.3,31.7,141,232,37.8,62.2,273,122,69.1,30.9
"Deisswil bei Münchenbuchsee",75602460535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diemerswil",75602460536,156,70.5,51,58,46.8,53.2,49,61,44.5,55.5,41,55,42.7,57.3,71,39,64.5,35.5
"Diemtigen",75602490762,1725,56.9,580,368,61.2,38.8,719,263,73.2,26.8,324,605,34.9,65.1,716,248,74.3,25.7
"Diessbach bei Büren",75602430385,712,60.8,228,201,53.1,46.9,224,209,51.7,48.3,166,258,39.2,60.8,288,145,66.5,33.5
"Dotzigen",75602430386,1092,60.3,359,288,55.5,44.5,328,331,49.8,50.2,248,392,38.8,61.3,426,223,65.6,34.4
"Dürrenroth",75602450952,854,54.3,261,202,56.4,43.6,274,190,59.1,40.9,151,303,33.3,66.7,311,150,67.5,32.5
"Eggiwil",75602450901,2017,46.6,534,389,57.9,42.1,674,266,71.7,28.3,313,606,34.1,65.9,658,273,70.7,29.3
"Epsach",75602430735,259,59.1,78,73,51.7,48.3,82,68,54.7,45.3,72,76,48.6,51.4,112,41,73.2,26.8
"Eriswil",75602440953,1100,51.3,307,246,55.5,44.5,323,241,57.3,42.7,199,349,36.3,63.7,394,158,71.4,28.6
"Eriz",75602470924,430,57.4,157,73,68.3,31.7,198,49,80.2,19.8,71,158,31,69,191,53,78.3,21.7
"Erlach",75602430492,1039,61.4,284,354,44.5,55.5,223,415,35,65,250,376,39.9,60.1,358,277,56.4,43.6
"Erlenbach im Simmental",75602490763,1359,57.5,421,343,55.1,44.9,481,300,61.6,38.4,290,473,38,62,490,282,63.5,36.5
"Ersigen",75602450405,1605,63.3,490,507,49.1,50.9,490,526,48.2,51.8,352,644,35.3,64.7,672,337,66.6,33.4
"Eschert",75602410692,265,50.9,74,59,55.6,44.4,70,65,51.9,48.1,64,63,50.4,49.6,72,60,54.5,45.5
"Evilard",75602420372,1782,68.7,594,599,49.8,50.2,341,884,27.8,72.2,490,693,41.4,58.6,681,528,56.3,43.7
"Fahrni",75602470925,623,69.7,291,143,67.1,32.9,230,139,62.3,37.7,125,239,34.3,65.7,249,121,67.3,32.7
"Farnern",75602440975,166,57.2,45,50,47.4,52.6,55,40,57.9,42.1,24,69,25.8,74.2,67,25,72.8,27.2
"Ferenbalm",75602460662,954,65.8,343,276,55.4,44.6,348,280,55.4,44.6,230,386,37.3,62.7,390,229,63,37
"Finsterhennen",75602430493,317,62.5,107,90,54.3,45.7,109,88,55.3,44.7,76,120,38.8,61.2,151,47,76.3,23.7
"Forst-Längenbühl",75602470948,610,63.6,198,178,52.7,47.3,239,149,61.6,38.4,140,234,37.4,62.6,246,135,64.6,35.4
"Fraubrunnen",75602460538,3796,63.8,1154,1245,48.1,51.9,959,1462,39.6,60.4,831,1534,35.1,64.9,1458,948,60.6,39.4
"Frauenkappelen",75602460663,942,64.2,280,308,47.6,52.4,223,382,36.9,63.1,226,367,38.1,61.9,337,268,55.7,44.3
"Freimettigen",75602460607,347,62.2,117,97,54.7,45.3,104,110,48.6,51.4,92,122,43,57,122,94,56.5,43.5
"Frutigen",75602490563,5306,61.7,1973,1224,61.7,38.3,1927,1349,58.8,41.2,1200,1963,37.9,62.1,2035,1200,62.9,37.1
"Gals",75602430494,557,56.7,175,136,56.3,43.7,133,183,42.1,57.9,126,182,40.9,59.1,210,102,67.3,32.7
"Gampelen",75602430495,618,57,188,160,54,46,174,178,49.4,50.6,108,233,31.7,68.3,253,97,72.3,27.7
"Gelterfingen",75602460865,224,64.3,71,72,49.7,50.3,93,51,64.6,35.4,57,83,40.7,59.3,98,46,68.1,31.9
"Gerzensee",75602460866,910,64.6,278,299,48.2,51.8,264,324,44.9,55.1,190,380,33.3,66.7,358,227,61.2,38.8
"Golaten",75602460664,243,64.2,81,72,52.9,47.1,97,59,62.2,37.8,53,94,36.1,63.9,100,52,65.8,34.2
"Gondiswil",75602440326,598,54.5,174,144,54.7,45.3,195,129,60.2,39.8,105,213,33,67,220,106,67.5,32.5
"Graben",75602440976,259,61.4,81,72,52.9,47.1,93,65,58.9,41.1,59,92,39.1,60.9,118,41,74.2,25.8
"Grandval",75602410694,293,52.2,103,49,67.8,32.2,87,65,57.2,42.8,88,65,57.5,42.5,69,81,46,54
"Grindelwald",75602500576,2678,57,741,723,50.6,49.4,966,560,63.3,36.7,434,1014,30,70,1132,376,75.1,24.9
"Grossaffoltern",75602430303,2363,63.4,711,768,48.1,51.9,660,839,44,56,549,920,37.4,62.6,905,590,60.5,39.5
"Grosshöchstetten",75602460608,2672,64.2,823,866,48.7,51.3,661,1055,38.5,61.5,557,1102,33.6,66.4,1040,646,61.7,38.3
"Gsteig",75602480841,712,52,166,191,46.5,53.5,206,164,55.7,44.3,126,228,35.6,64.4,272,94,74.3,25.7
"Gsteigwiler",75602500577,326,61,89,107,45.4,54.6,91,108,45.7,54.3,84,111,43.1,56.9,117,81,59.1,40.9
"Guggisberg",75602460852,1309,47.1,347,260,57.2,42.8,368,236,60.9,39.1,271,334,44.8,55.2,348,269,56.4,43.6
"Gündlischwand",75602500578,238,55,62,67,48.1,51.9,84,44,65.6,34.4,30,94,24.2,75.8,89,42,67.9,32.1
"Gurbrü",75602460665,187,66.8,66,55,54.5,45.5,66,59,52.8,47.2,48,71,40.3,59.7,71,50,58.7,41.3
