"id","municipality_name"
75602410726,"Plateau de Diesse"
75602470936,"Pohlern"
75602420745,"Port"
75602450905,"Rüderswil"
75602450420,"Rüdtligen-Alchenflüh"
75602460880,"Rüeggisberg"
75602450956,"Rüegsau"
75602460881,"Rümligen"
75602460853,"Rüschegg"
75602450904,"Röthenbach im Emmental"
75602430393,"Rüti bei Büren"
75602450422,"Rüti bei Lyssach"
75602440340,"Rütschelen"
75602430309,"Radelfingen"
75602430310,"Rapperswil (BE)"
75602410715,"Rebévelier"
75602410703,"Reconvilier"
75602490567,"Reichenbach im Kandertal"
75602440336,"Reisiswil"
75602410441,"Renan (BE)"
75602470767,"Reutigen"
75602460879,"Riggisberg"
75602500590,"Ringgenberg (BE)"
75602410704,"Roches (BE)"
75602440337,"Roggwil (BE)"
75602440338,"Rohrbach"
75602440339,"Rohrbachgraben"
75602410442,"Romont (BE)"
75602460623,"Rubigen"
75602450421,"Rumendingen"
75602440987,"Rumisberg"
75602480843,"Saanen"
75602420746,"Safnern"
75602410706,"Saicourt"
75602410443,"Saint-Imier"
75602410449,"Sauge"
75602410707,"Saules (BE)"
75602500591,"Saxeten"
75602430311,"Schüpfen"
75602450906,"Schangnau"
75602500786,"Schattenhalb"
75602410708,"Schelten"
75602420747,"Scheuren"
75602460624,"Schlosswil"
75602420748,"Schwadernau"
75602500592,"Schwanden bei Brienz"
75602460855,"Schwarzenburg"
75602440341,"Schwarzhäusern"
75602470937,"Schwendibach"
75602440988,"Seeberg"
75602430312,"Seedorf (BE)"
75602410709,"Seehof"
75602470883,"Seftigen"
75602450907,"Signau"
75602470938,"Sigriswil"
75602430499,"Siselen"
75602410444,"Sonceboz-Sombeval"
75602410445,"Sonvilier"
75602410711,"Sorvilier"
75602490768,"Spiez"
75602480793,"St. Stephan"
75602470939,"Steffisburg"
75602460358,"Stettlen"
75602470770,"Stocken-Höfen"
75602430749,"Studen (BE)"
75602450957,"Sumiswald"
75602420750,"Sutz-Lattrigen"
75602460625,"Tägertschi"
75602430751,"Täuffelen"
75602410713,"Tavannes"
75602470940,"Teuffenthal (BE)"
75602440989,"Thörigen"
75602470941,"Thierachern"
75602470942,"Thun"
75602440342,"Thunstetten"
75602460884,"Toffen"
75602450958,"Trachselwald"
75602410446,"Tramelan"
75602430500,"Treiten"
75602450908,"Trub"
75602450909,"Trubschachen"
75602430501,"Tschugg"
75602420756,"Twann-Tüscherz"
75602470943,"Uebeschi"
75602470944,"Uetendorf"
75602470945,"Unterlangenegg"
75602500593,"Unterseen"
75602440344,"Ursenbach"
75602460551,"Urtenen-Schönbühl"
75602470885,"Uttigen"
75602450552,"Utzenstorf"
75602410717,"Valbirse"
75602460359,"Vechigen"
75602410448,"Villeret"
75602430502,"Vinelz"
75602470946,"Wachseldorn"
75602460888,"Wald (BE)"
75602460626,"Walkringen"
75602440990,"Walliswil bei Niederbipp"
75602440991,"Walliswil bei Wangen"
75602430754,"Walperswil"
75602440959,"Walterswil (BE)"
75602440992,"Wangen an der Aare"
75602440993,"Wangenried"
75602470886,"Wattenwil"
75602430394,"Wengi"
75602460632,"Wichtrach"
75602440995,"Wiedlisbach"
75602460553,"Wiggiswil"
75602500594,"Wilderswil"
75602450554,"Wiler bei Utzenstorf"
75602460671,"Wileroltigen"
75602450423,"Willadingen"
75602490769,"Wimmis"
75602460360,"Wohlen bei Bern"
75602440996,"Wolfisberg"
75602460627,"Worb"
75602430755,"Worben"
75602440345,"Wynau"
75602450424,"Wynigen"
75602440960,"Wyssachen"
75602460628,"Zäziwil"
75602450556,"Zielebach"
75602460361,"Zollikofen"
75602460557,"Zuzwil (BE)"
75602480794,"Zweisimmen"
75602470947,"Zwieselberg"
