"id","municipality_name","valid_votes","yes","no","yes_percentage"
75622285863,"Vinzel",142,38,104,26.8
75622245871,"L'Abbaye",639,215,424,33.6
75622245872,"Le Chenit",1675,651,1024,38.9
75622245873,"Le Lieu",383,140,243,36.6
75622305881,"Blonay",2441,755,1686,30.9
75622305882,"Chardonne",1247,359,888,28.8
75622305883,"Corseaux",948,281,667,29.6
75622305884,"Corsier-sur-Vevey",1141,418,723,36.6
75622305885,"Jongny",640,207,433,32.3
75622305886,"Montreux",6513,2211,4302,33.9
75622305888,"Saint-Légier-La Chiésaz",2075,595,1480,28.7
75622305889,"La Tour-de-Peilz",4185,1274,2911,30.4
75622305890,"Vevey",5175,1388,3787,26.8
75622305891,"Veytaux",314,105,209,33.4
75622245902,"Belmont-sur-Yverdon",171,65,106,38
75622245903,"Bioley-Magnoux",128,59,69,46.1
75622245904,"Chamblon",260,87,173,33.5
75622245905,"Champvent",253,95,158,37.5
75622245907,"Chavannes-le-Chêne",127,67,60,52.8
75622245908,"Chêne-Pâquier",63,19,44,30.2
75622245909,"Cheseaux-Noréaz",333,110,223,33
75622245910,"Cronay",206,69,137,33.5
75622245911,"Cuarny",102,65,37,63.7
75622245912,"Démoret",84,43,41,51.2
75622245913,"Donneloye",374,159,215,42.5
75622245914,"Ependes (VD)",155,74,81,47.7
75622245915,"Essert-Pittet",71,36,35,50.7
75622245919,"Mathod",286,114,172,39.9
75622245921,"Molondin",115,60,55,52.2
75622245922,"Montagny-près-Yverdon",321,123,198,38.3
75622235923,"Oppens",73,26,47,35.6
75622245924,"Orges",122,50,72,41
75622245925,"Orzens",113,48,65,42.5
75622245926,"Pomy",338,133,205,39.3
75622245928,"Rovray",90,41,49,45.6
75622245929,"Suchy",244,84,160,34.4
75622245930,"Suscévaz",110,48,62,43.6
75622245931,"Treycovagnes",229,84,145,36.7
75622245932,"Ursins",110,52,58,47.3
75622245933,"Valeyres-sous-Montagny",276,107,169,38.8
75622245934,"Valeyres-sous-Ursins",117,54,63,46.2
75622245935,"Villars-Epeney",61,27,34,44.3
75622245937,"Vugelles-La Mothe",54,30,24,55.6
75622245938,"Yverdon-les-Bains",8448,2994,5454,35.4
75622245939,"Yvonand",1282,495,787,38.6
75623016002,"Brig-Glis",5611,2663,2948,47.5
75623016004,"Eggerberg",184,114,70,62
75623016007,"Naters",4584,2411,2173,52.6
75623016008,"Ried-Brig",1040,517,523,49.7
75623016009,"Simplon",207,100,107,48.3
75623016010,"Termen",464,226,238,48.7
75623016011,"Zwischbergen",43,38,5,88.4
75623026021,"Ardon",965,443,522,45.9
75623026022,"Chamoson",1583,728,855,46
75623026023,"Conthey",3168,1479,1689,46.7
75623026024,"Nendaz",2645,1156,1489,43.7
75623026025,"Vétroz",2138,990,1148,46.3
75623036031,"Bagnes",2474,934,1540,37.8
75623036032,"Bourg-Saint-Pierre",95,43,52,45.3
75623036033,"Liddes",346,160,186,46.2
75623036034,"Orsières",1452,643,809,44.3
75623036035,"Sembrancher",383,200,183,52.2
75623036036,"Vollèges",783,275,508,35.1
75623046052,"Bellwald",199,87,112,43.7
75623046054,"Binn",62,19,43,30.6
75623046055,"Blitzingen",38,19,19,50
75623046056,"Ernen",238,116,122,48.7
75623046057,"Fiesch",428,196,232,45.8
75623046058,"Fieschertal",157,84,73,53.5
75623046061,"Lax",133,53,80,39.8
75623046064,"Niederwald",30,9,21,30
75623046073,"Grafschaft",113,59,54,52.2
75623046074,"Münster-Geschinen",212,105,107,49.5
75623046075,"Reckingen-Gluringen",228,101,127,44.3
