"id","municipality_name","yes2010","yes2014","yes2016"
75601090196,"Mönchaltorf",53.1,51.8,39.6
75601090197,"Schwerzenbach",53.6,49.7,37.6
75601090198,"Uster",50.4,45.6,33.2
75601090199,"Volketswil",64.8,59.2,45.4
75601090200,"Wangen-Brüttisellen",60.9,57.6,44.2
75601100211,"Altikon",68.5,59.9,53.2
75601100213,"Brütten",56.1,53,39.8
75601100214,"Dägerlen",58.7,56.3,46.5
75601100215,"Dättlikon",54.4,49.2,39.4
75601100216,"Dinhard",63.5,57.1,49.3
75601100217,"Elgg",58.6,56.4,40.7
75601100218,"Ellikon an der Thur",69.6,60.2,54.8
75601100219,"Elsau",59,55.1,42.9
75601100220,"Hagenbuch",78,70.7,63
75601100221,"Hettlingen",57.2,52,39.4
75601100222,"Hofstetten (ZH)",71.9,72.7,62.8
75601100223,"Neftenbach",60.4,55.1,41.4
75601100224,"Pfungen",64.7,58,41.5
75601100225,"Rickenbach (ZH)",62.9,55,46
75601100226,"Schlatt (ZH)",69.7,61.2,49.9
75601100227,"Seuzach",61.3,56.7,43.7
75601100228,"Turbenthal",64.2,64.5,49.9
75601100230,"Winterthur",44.9,41.3,28.4
75601100231,"Zell (ZH)",62.7,59.3,45.7
75601110241,"Aesch (ZH)",55.8,51.8,39.9
75601110242,"Birmensdorf (ZH)",55.6,51.8,37.5
75601110243,"Dietikon",58.2,54.9,40.8
75601110244,"Geroldswil",62.2,59.9,45.6
75601110245,"Oberengstringen",55.9,51.7,39.1
75601110246,"Oetwil an der Limmat",58.4,56.3,47.6
75601110247,"Schlieren",57.1,53.2,36.1
75601110248,"Uitikon",51.6,46.7,33.7
75601110249,"Unterengstringen",62.6,58.7,43
75601110250,"Urdorf",56.6,54.4,40.1
75601110251,"Weiningen (ZH)",63,59.6,46.9
75601120261,"Zürich",35.5,33.4,22.6
75602410431,"Corgémont",62.7,57,49.3
75602410432,"Cormoret",47.7,47.2,33.5
75602410433,"Cortébert",59.7,61.8,46.1
75602410434,"Courtelary",57.6,51.9,44.8
75602410435,"La Ferrière",49.6,51.4,34.8
75602410437,"Mont-Tramelan",58.8,60.4,38.7
75602410438,"Orvin",61.2,56,43.7
