Local Measure F - CITY/COUNTY OF SAN FRANCI (190),,,,,,,,,,
,,,,,,,,,,
Precinct Totals,,,,,,,,,,
PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 7641/7639,Election Day,7641,1,1629,185,11.36,62,123,0,0
Pct 7641/7639,VBM,7641,1,1629,500,30.69,156,343,8,1
Pct 7642,Election Day,7642,1,829,81,9.77,36,41,4,0
Pct 7642,VBM,7642,1,829,352,42.46,79,248,29,0
Pct 7643,Election Day,7643,1,812,85,10.47,31,51,3,0
Pct 7643,VBM,7643,1,812,267,32.88,92,178,2,0
Pct 7644,Election Day,7644,1,820,114,13.90,43,70,1,0
Pct 7644,VBM,7644,1,820,197,24.02,78,114,7,0
Pct 7645,Election Day,7645,1,572,70,12.24,41,28,0,0
Pct 7645,VBM,7645,1,572,201,35.14,74,134,3,0
Pct 7646,Election Day,7646,1,1172,136,11.60,60,76,2,0
Pct 7646,VBM,7646,1,1172,297,25.34,107,183,8,0
Pct 7647,Election Day,7647,1,783,75,9.58,40,33,2,0
Pct 7647,VBM,7647,1,783,117,14.94,56,60,2,0
Pct 7648 MB,Election Day,7648,1,50,0,0.00,0,0,0,0
Pct 7648 MB,VBM,7648,1,50,4,8.00,3,1,0,0
Pct 7701,Election Day,7701,1,886,198,22.35,95,100,3,0
Pct 7701,VBM,7701,1,886,252,28.44,124,127,3,0
Pct 7703 MB,Election Day,7703,1,135,0,0.00,0,0,0,0
Pct 7703 MB,VBM,7703,1,135,48,35.56,12,29,6,0
Pct 7704/7702,Election Day,7704,1,1582,283,17.89,116,162,4,1
Pct 7704/7702,VBM,7704,1,1582,570,36.03,216,351,14,0
Pct 7705,Election Day,7705,1,520,109,20.96,42,67,0,0
Pct 7705,VBM,7705,1,520,192,36.92,76,113,2,1
Pct 7706,Election Day,7706,1,795,172,21.64,88,84,0,0
Pct 7706,VBM,7706,1,795,284,35.72,120,162,5,2
Pct 7707,Election Day,7707,1,780,186,23.85,91,94,1,0
Pct 7707,VBM,7707,1,780,275,35.26,129,152,3,0
Pct 7708,Election Day,7708,1,819,145,17.70,72,71,2,0
Pct 7708,VBM,7708,1,819,327,39.93,127,197,7,0
Pct 7709/7711,Election Day,7709,1,1075,226,21.02,132,95,0,0
Pct 7709/7711,VBM,7709,1,1075,349,32.47,145,202,5,0
Pct 7712,Election Day,7712,1,496,107,21.57,60,46,1,0
Pct 7712,VBM,7712,1,496,167,33.67,68,98,4,0
Pct 7801,Election Day,7801,1,893,210,23.52,99,110,1,0
Pct 7801,VBM,7801,1,893,317,35.50,116,200,3,0
Pct 7802,Election Day,7802,1,700,174,24.86,82,92,0,0
Pct 7802,VBM,7802,1,700,219,31.29,79,140,4,0
Pct 7804,Election Day,7804,1,848,205,24.17,100,102,4,0
Pct 7804,VBM,7804,1,848,290,34.20,114,179,2,0
Pct 7806/7805,Election Day,7806,1,1485,332,22.36,189,144,1,0
Pct 7806/7805,VBM,7806,1,1485,472,31.78,178,287,11,1
Pct 7808/7807,Election Day,7808,1,1359,381,28.04,205,172,5,0
Pct 7808/7807,VBM,7808,1,1359,333,24.50,146,178,7,0
Pct 7809,Election Day,7809,1,911,212,23.27,121,89,2,0
Pct 7809,VBM,7809,1,911,251,27.55,105,143,8,1
Pct 7812/7811,Election Day,7812,1,1512,357,23.61,206,146,5,0
Pct 7812/7811,VBM,7812,1,1512,433,28.64,194,237,6,0
Pct 7814/7813,Election Day,7814,1,1726,354,20.51,223,127,4,0
Pct 7814/7813,VBM,7814,1,1726,447,25.90,205,235,6,1
Pct 7815,Election Day,7815,1,865,180,20.81,102,76,2,0
Pct 7815,VBM,7815,1,865,318,36.76,135,178,8,0
Pct 7816/7803,Election Day,7816,1,1573,328,20.85,159,167,2,0
Pct 7816/7803,VBM,7816,1,1573,614,39.03,263,345,5,0
Pct 7818/7817,Election Day,7818,1,1568,402,25.64,231,166,5,0
Pct 7818/7817,VBM,7818,1,1568,484,30.87,231,253,8,0
Pct 7819,Election Day,7819,1,755,158,20.93,91,67,0,0
Pct 7819,VBM,7819,1,755,233,30.86,106,127,3,0
Pct 7822/7821,Election Day,7822,1,1746,424,24.28,220,195,8,0
Pct 7822/7821,VBM,7822,1,1746,562,32.19,235,325,7,0
Pct 7823,Election Day,7823,1,819,214,26.13,111,101,2,0
Pct 7823,VBM,7823,1,819,255,31.14,108,140,7,0
Pct 7824/7825,Election Day,7824,1,1298,306,23.57,146,155,4,0
Pct 7824/7825,VBM,7824,1,1298,355,27.35,140,212,6,1
Pct 7827/7826,Election Day,7827,1,1484,391,26.35,225,156,10,0
Pct 7827/7826,VBM,7827,1,1484,376,25.34,183,192,6,0
Pct 7828,Election Day,7828,1,891,176,19.75,82,88,1,0
Pct 7828,VBM,7828,1,891,300,33.67,143,158,4,1
Pct 7831,Election Day,7831,1,850,206,24.24,91,112,3,0
Pct 7831,VBM,7831,1,850,286,33.65,114,167,7,2
Pct 7832,Election Day,7832,1,755,172,22.78,91,80,2,0
Pct 7832,VBM,7832,1,755,266,35.23,108,160,3,0
Pct 7833,Election Day,7833,1,747,170,22.76,89,84,2,0
Pct 7833,VBM,7833,1,747,234,31.33,102,133,2,0
Pct 7834/7843,Election Day,7834,1,1573,449,28.54,280,163,9,0
Pct 7834/7843,VBM,7834,1,1573,397,25.24,190,207,3,0
Pct 7835,Election Day,7835,1,767,147,19.17,86,59,2,0
Pct 7835,VBM,7835,1,767,246,32.07,138,105,3,1
Pct 7836,Election Day,7836,1,906,186,20.53,97,85,3,0
Pct 7836,VBM,7836,1,906,299,33.00,126,172,3,0
Pct 7837/7829,Election Day,7837,1,1673,371,22.18,158,212,1,0
Pct 7837/7829,VBM,7837,1,1673,606,36.22,228,380,7,1
Pct 7838,Election Day,7838,1,876,202,23.06,98,103,3,0
Pct 7838,VBM,7838,1,876,319,36.42,121,199,3,0
Pct 7839,Election Day,7839,1,831,169,20.34,78,90,1,0
Pct 7839,VBM,7839,1,831,290,34.90,97,189,4,0
Pct 7841/7848,Election Day,7841,1,1737,429,24.70,202,217,10,0
Pct 7841/7848,VBM,7841,1,1737,540,31.09,215,323,7,0
Pct 7842/7849,Election Day,7842,1,1742,442,25.37,242,197,4,0
Pct 7842/7849,VBM,7842,1,1742,494,28.36,223,267,7,1
Pct 7844/7858,Election Day,7844,1,1367,338,24.73,199,139,1,0
Pct 7844/7858,VBM,7844,1,1367,343,25.09,176,168,4,0
Pct 7845,Election Day,7845,1,812,164,20.20,60,100,4,0
Pct 7845,VBM,7845,1,812,253,31.16,78,172,4,0
Pct 7847/7846,Election Day,7847,1,1730,385,22.25,190,191,4,0
Pct 7847/7846,VBM,7847,1,1730,541,31.27,195,342,4,1
Pct 7852/7851,Election Day,7852,1,1100,204,18.55,73,128,3,0
Pct 7852/7851,VBM,7852,1,1100,404,36.73,160,245,4,0
Pct 7855/7854,Election Day,7855,1,1716,392,22.84,168,223,3,0
Pct 7855/7854,VBM,7855,1,1716,525,30.59,190,341,8,0
Pct 7856/7857,Election Day,7856,1,1647,375,22.77,200,174,3,0
Pct 7856/7857,VBM,7856,1,1647,500,30.36,187,314,6,1
Pct 7859/7853,Election Day,7859,1,1618,306,18.91,128,176,3,0
Pct 7859/7853,VBM,7859,1,1618,516,31.89,194,326,6,0
Pct 7861/7862,Election Day,7861,1,1672,369,22.07,174,191,2,2
Pct 7861/7862,VBM,7861,1,1672,508,30.38,183,326,6,0
Pct 7863,Election Day,7863,1,863,243,28.16,128,115,0,0
Pct 7863,VBM,7863,1,863,203,23.52,83,120,2,0
Pct 7864/7869,Election Day,7864,1,1567,361,23.04,159,198,4,0
Pct 7864/7869,VBM,7864,1,1567,479,30.57,187,287,7,0
Pct 7865/7873,Election Day,7865,1,1610,378,23.48,203,171,3,0
Pct 7865/7873,VBM,7865,1,1610,511,31.74,201,303,10,0
Pct 7866,Election Day,7866,1,765,145,18.95,53,90,2,0
Pct 7866,VBM,7866,1,765,303,39.61,104,192,7,0
Pct 7867/7868,Election Day,7867,1,1672,372,22.25,159,209,5,0
Pct 7867/7868,VBM,7867,1,1672,517,30.92,181,331,7,1
Pct 7871,Election Day,7871,1,835,186,22.28,73,109,3,1
Pct 7871,VBM,7871,1,835,289,34.61,117,174,1,0
Pct 7872,Election Day,7872,1,842,221,26.25,103,114,4,0
Pct 7872,VBM,7872,1,842,248,29.45,96,155,1,0
Pct 7874,Election Day,7874,1,439,90,20.50,40,50,0,0
Pct 7874,VBM,7874,1,439,136,30.98,60,76,0,0
Pct 7875,Election Day,7875,1,556,94,16.91,48,44,1,0
Pct 7875,VBM,7875,1,556,173,31.12,91,85,2,0
Pct 7902/7901,Election Day,7902,1,1953,370,18.95,243,133,4,1
Pct 7902/7901,VBM,7902,1,1953,455,23.30,220,232,10,0
Pct 7903,Election Day,7903,1,841,143,17.00,80,58,5,0
Pct 7903,VBM,7903,1,841,220,26.16,108,104,10,0
Pct 7904,Election Day,7904,1,847,172,20.31,101,64,6,0
Pct 7904,VBM,7904,1,847,208,24.56,88,124,1,0
Pct 7905,Election Day,7905,1,807,188,23.30,108,80,0,0
Pct 7905,VBM,7905,1,807,207,25.65,113,92,4,0
Pct 7906,Election Day,7906,1,748,180,24.06,111,63,7,0
Pct 7906,VBM,7906,1,748,184,24.60,95,93,0,0
Pct 7907/7908,Election Day,7907,1,1818,421,23.16,250,159,10,1
Pct 7907/7908,VBM,7907,1,1818,482,26.51,224,250,17,0
Pct 7909/7911,Election Day,7909,1,1559,371,23.80,227,137,6,0
Pct 7909/7911,VBM,7909,1,1559,381,24.44,174,205,6,1
Pct 7912,Election Day,7912,1,915,206,22.51,124,83,1,0
Pct 7912,VBM,7912,1,915,262,28.63,116,139,9,0
Pct 7913,Election Day,7913,1,843,219,25.98,138,80,4,0
Pct 7913,VBM,7913,1,843,188,22.30,89,98,3,0
Pct 7915/7914,Election Day,7915,1,1560,413,26.47,243,156,14,1
Pct 7915/7914,VBM,7915,1,1560,375,24.04,189,181,5,0
Pct 7916,Election Day,7916,1,833,214,25.69,135,77,1,1
Pct 7916,VBM,7916,1,833,209,25.09,110,100,2,0
Pct 7917/7918,Election Day,7917,1,1719,438,25.48,237,192,7,0
Pct 7917/7918,VBM,7917,1,1719,389,22.63,211,182,3,0
Pct 7919,Election Day,7919,1,838,222,26.49,132,86,4,0
Pct 7919,VBM,7919,1,838,184,21.96,105,78,5,0
Pct 7922/7921,Election Day,7922,1,1635,343,20.98,210,125,7,0
Pct 7922/7921,VBM,7922,1,1635,386,23.61,210,170,10,0
Pct 7924/7923,Election Day,7924,1,1585,366,23.09,218,145,3,0
Pct 7924/7923,VBM,7924,1,1585,439,27.70,217,220,8,0
Pct 7925,Election Day,7925,1,522,125,23.95,80,44,1,0
Pct 7925,VBM,7925,1,522,120,22.99,66,52,3,0
Pct 7926,Election Day,7926,1,767,209,27.25,117,89,3,0
Pct 7926,VBM,7926,1,767,220,28.68,115,100,5,1
Pct 7927/7928,Election Day,7927,1,1578,427,27.06,225,199,3,0
Pct 7927/7928,VBM,7927,1,1578,442,28.01,216,223,7,0
Pct 7931,Election Day,7931,1,723,180,24.90,88,89,4,0
Pct 7931,VBM,7931,1,723,246,34.02,101,147,2,0
Pct 7932,Election Day,7932,1,508,120,23.62,56,63,1,0
Pct 7932,VBM,7932,1,508,161,31.69,61,99,2,0
Pct 7933 MB,Election Day,7933,1,9,0,0.00,0,0,0,0
Pct 7933 MB,VBM,7933,1,9,3,33.33,2,1,0,0
Pct 7934,Election Day,7934,1,794,179,22.54,103,75,1,0
Pct 7934,VBM,7934,1,794,229,28.84,109,118,1,1
Pct 7935/7929,Election Day,7935,1,1681,439,26.12,226,211,2,0
Pct 7935/7929,VBM,7935,1,1681,572,34.03,233,337,7,0
Pct 7936,Election Day,7936,1,803,237,29.51,137,96,4,0
Pct 7936,VBM,7936,1,803,240,29.89,114,125,2,0
Pct 7937,Election Day,7937,1,832,198,23.80,114,82,2,0
Pct 7937,VBM,7937,1,832,233,28.00,96,139,4,0
Pct 7939/7941,Election Day,7939,1,1374,355,25.84,166,185,4,0
Pct 7939/7941,VBM,7939,1,1374,355,25.84,166,184,8,1
Pct 7942,Election Day,7942,1,833,149,17.89,76,71,2,0
Pct 7942,VBM,7942,1,833,230,27.61,106,118,7,1
Pct 7943,Election Day,7943,1,817,172,21.05,78,92,2,0
Pct 7943,VBM,7943,1,817,243,29.74,93,149,6,0
Pct 7944/7938,Election Day,7944,1,1465,354,24.16,195,150,8,1
Pct 7944/7938,VBM,7944,1,1465,354,24.16,155,196,6,0
Pct 7945,Election Day,7945,1,822,86,10.46,51,34,1,0
Pct 7945,VBM,7945,1,822,256,31.14,102,152,3,0
Pct 7946/7948,Election Day,7946,1,1701,239,14.05,109,128,1,0
Pct 7946/7948,VBM,7946,1,1701,502,29.51,188,306,14,0
Pct 7947,Election Day,7947,1,844,97,11.49,42,53,1,0
Pct 7947,VBM,7947,1,844,246,29.15,66,173,9,0
Pct 7952/7951,Election Day,7952,1,1424,160,11.24,76,80,5,0
Pct 7952/7951,VBM,7952,1,1424,468,32.87,162,295,11,0
Pct 7953/7949,Election Day,7953,1,1291,149,11.54,78,71,0,0
Pct 7953/7949,VBM,7953,1,1291,402,31.14,151,247,5,0
Pct 7955,Election Day,7955,1,794,92,11.59,36,55,1,0
Pct 7955,VBM,7955,1,794,252,31.74,86,165,6,0
Pct 7956,Election Day,7956,1,659,64,9.71,24,40,0,0
Pct 7956,VBM,7956,1,659,192,29.14,62,125,6,0
Pct 7957,Election Day,7957,1,584,87,14.90,35,49,2,0
Pct 7957,VBM,7957,1,584,163,27.91,67,90,5,2
Pct 7958 MB,Election Day,7958,1,254,3,1.18,0,3,0,0
Pct 7958 MB,VBM,7958,1,254,102,40.16,35,63,3,0
Pct 9001 MB,Election Day,9001,1,232,1,0.43,1,1,0,0
Pct 9001 MB,VBM,9001,1,232,93,40.09,41,50,1,0
Pct 9101,Election Day,9101,1,836,131,15.67,72,58,1,0
Pct 9101,VBM,9101,1,836,246,29.43,121,126,6,0
Pct 9102,Election Day,9102,1,846,154,18.20,75,77,2,0
Pct 9102,VBM,9102,1,846,248,29.31,120,121,7,0
Pct 9103/9104,Election Day,9103,1,1739,284,16.33,153,125,6,0
Pct 9103/9104,VBM,9103,1,1739,457,26.28,204,247,13,0
Pct 9107/9105,Election Day,9107,1,1631,284,17.41,158,123,4,0
Pct 9107/9105,VBM,9107,1,1631,439,26.92,194,248,9,0
Pct 9108/9111,Election Day,9108,1,1436,276,19.22,147,120,9,0
Pct 9108/9111,VBM,9108,1,1436,329,22.91,137,189,8,0
Pct 9109/9106,Election Day,9109,1,1637,343,20.95,167,174,3,1
Pct 9109/9106,VBM,9109,1,1637,440,26.88,176,259,9,0
Pct 9113,Election Day,9113,1,939,187,19.91,90,96,1,0
Pct 9113,VBM,9113,1,939,269,28.65,129,142,4,0
Pct 9114/9112,Election Day,9114,1,1681,291,17.31,159,126,6,0
Pct 9114/9112,VBM,9114,1,1681,471,28.02,197,268,15,0
Pct 9116/9115,Election Day,9116,1,1700,344,20.24,180,159,5,0
Pct 9116/9115,VBM,9116,1,1700,393,23.12,177,219,3,1
Pct 9117/9118,Election Day,9117,1,1575,286,18.16,124,159,3,0
Pct 9117/9118,VBM,9117,1,1575,433,27.49,178,252,5,1
Pct 9121/9119,Election Day,9121,1,1621,288,17.77,140,137,11,0
Pct 9121/9119,VBM,9121,1,1621,451,27.82,188,261,6,0
Pct 9122/9139,Election Day,9122,1,1739,234,13.46,116,116,3,0
Pct 9122/9139,VBM,9122,1,1739,550,31.63,211,332,13,0
Pct 9123/9124,Election Day,9123,1,1621,295,18.20,162,127,4,1
Pct 9123/9124,VBM,9123,1,1621,384,23.69,164,219,5,0
Pct 9125,Election Day,9125,1,812,132,16.26,74,57,1,0
Pct 9125,VBM,9125,1,812,240,29.56,93,144,3,0
Pct 9126/9144,Election Day,9126,1,1800,321,17.83,162,152,8,0
Pct 9126/9144,VBM,9126,1,1800,535,29.72,237,292,13,0
Pct 9127,Election Day,9127,1,897,190,21.18,85,102,3,0
Pct 9127,VBM,9127,1,897,241,26.87,105,137,3,0
Pct 9128/9129,Election Day,9128,1,1459,287,19.67,141,141,4,0
Pct 9128/9129,VBM,9128,1,1459,381,26.11,155,225,6,0
Pct 9131/9132,Election Day,9131,1,1515,264,17.43,138,120,7,0
Pct 9131/9132,VBM,9131,1,1515,384,25.35,160,218,14,0
Pct 9133,Election Day,9133,1,944,172,18.22,80,91,0,0
Pct 9133,VBM,9133,1,944,293,31.04,123,168,6,0
Pct 9134,Election Day,9134,1,740,130,17.57,59,68,3,0
Pct 9134,VBM,9134,1,740,211,28.51,65,145,3,0
Pct 9135,Election Day,9135,1,761,125,16.43,51,73,1,0
Pct 9135,VBM,9135,1,761,199,26.15,89,109,8,1
Pct 9136,Election Day,9136,1,830,168,20.24,93,72,1,0
Pct 9136,VBM,9136,1,830,236,28.43,94,140,5,0
Pct 9137/9138,Election Day,9137,1,1702,271,15.92,134,132,5,0
Pct 9137/9138,VBM,9137,1,1702,514,30.20,216,281,17,0
Pct 9141,Election Day,9141,1,883,141,15.97,74,65,2,0
Pct 9141,VBM,9141,1,883,268,30.35,96,166,6,0
Pct 9142/9143,Election Day,9142,1,1729,301,17.41,162,133,4,0
Pct 9142/9143,VBM,9142,1,1729,465,26.89,214,253,11,0
Pct 9146/9145,Election Day,9146,1,1650,356,21.58,193,158,6,0
Pct 9146/9145,VBM,9146,1,1650,402,24.36,183,214,7,0
Pct 9148/9147,Election Day,9148,1,1817,349,19.21,167,178,2,0
Pct 9148/9147,VBM,9148,1,1817,446,24.55,184,263,7,0
Pct 9151,Election Day,9151,1,753,131,17.40,51,78,2,0
Pct 9151,VBM,9151,1,753,226,30.01,95,132,4,0
Pct 9152/9149,Election Day,9152,1,1642,234,14.25,124,104,6,0
Pct 9152/9149,VBM,9152,1,1642,350,21.32,162,187,10,0
Pct 9201,Election Day,9201,1,820,148,18.05,89,58,1,0
Pct 9201,VBM,9201,1,820,150,18.29,60,86,4,0
Pct 9202,Election Day,9202,1,831,108,13.00,42,65,1,0
Pct 9202,VBM,9202,1,831,151,18.17,57,93,3,0
Pct 9205/9213,Election Day,9205,1,1450,207,14.28,103,98,6,0
Pct 9205/9213,VBM,9205,1,1450,379,26.14,142,232,9,0
Pct 9206/9203,Election Day,9206,1,1672,235,14.06,80,152,2,0
Pct 9206/9203,VBM,9206,1,1672,431,25.78,133,293,9,1
Pct 9208,Election Day,9208,1,816,111,13.60,37,72,2,0
Pct 9208,VBM,9208,1,816,164,20.10,58,105,2,0
Pct 9209/9204,Election Day,9209,1,1340,221,16.49,77,142,2,0
Pct 9209/9204,VBM,9209,1,1340,329,24.55,116,213,6,0
Pct 9211/9207,Election Day,9211,1,1557,226,14.52,81,142,3,0
Pct 9211/9207,VBM,9211,1,1557,333,21.39,125,208,4,0
Pct 9212,Election Day,9212,1,690,108,15.65,44,62,2,0
Pct 9212,VBM,9212,1,690,157,22.75,54,104,4,0
Pct 9214,Election Day,9214,1,538,97,18.03,43,48,6,0
Pct 9214,VBM,9214,1,538,163,30.30,58,102,5,0
Pct 9215,Election Day,9215,1,576,103,17.88,35,66,2,0
Pct 9215,VBM,9215,1,576,140,24.31,44,93,5,0
Pct 9219/9218,Election Day,9219,1,1369,196,14.32,84,113,3,0
Pct 9219/9218,VBM,9219,1,1369,296,21.62,122,172,2,0
Pct 9221,Election Day,9221,1,583,110,18.87,42,63,1,0
Pct 9221,VBM,9221,1,583,211,36.19,86,128,2,0
Pct 9222/9216,Election Day,9222,1,1438,238,16.55,78,155,5,0
Pct 9222/9216,VBM,9222,1,1438,363,25.24,104,257,7,1
Pct 9223/9217,Election Day,9223,1,1163,179,15.39,89,90,0,0
Pct 9223/9217,VBM,9223,1,1163,306,26.31,109,194,7,0
Pct 9224,Election Day,9224,1,857,135,15.75,46,88,1,0
Pct 9224,VBM,9224,1,857,249,29.05,96,150,4,0
Pct 9225/9226,Election Day,9225,1,1635,244,14.92,100,143,1,0
Pct 9225/9226,VBM,9225,1,1635,406,24.83,153,248,11,1
Pct 9227/9228,Election Day,9227,1,1369,246,17.97,116,126,5,0
Pct 9227/9228,VBM,9227,1,1369,483,35.28,181,299,9,0
Pct 9229,Election Day,9229,1,568,115,20.25,44,69,2,0
Pct 9229,VBM,9229,1,568,164,28.87,58,103,4,0
Pct 9231,Election Day,9231,1,929,227,24.43,111,110,5,0
Pct 9231,VBM,9231,1,929,225,24.22,94,130,4,0
Pct 9232/9233,Election Day,9232,1,1406,225,16.00,87,135,3,0
Pct 9232/9233,VBM,9232,1,1406,418,29.73,133,285,5,0
Pct 9234/9235,Election Day,9234,1,1486,240,16.15,89,144,5,1
Pct 9234/9235,VBM,9234,1,1486,425,28.60,146,286,7,0
Pct 9238/9246,Election Day,9238,1,1565,210,13.42,82,126,2,0
Pct 9238/9246,VBM,9238,1,1565,432,27.60,146,285,5,0
Pct 9239,Election Day,9239,1,750,115,15.33,49,67,0,0
Pct 9239,VBM,9239,1,750,231,30.80,87,144,1,0
Pct 9241,Election Day,9241,1,875,130,14.86,62,67,2,0
Pct 9241,VBM,9241,1,875,245,28.00,72,168,7,0
Pct 9242/9248,Election Day,9242,1,1588,239,15.05,98,140,1,0
Pct 9242/9248,VBM,9242,1,1588,397,25.00,162,231,12,0
Pct 9243/9236,Election Day,9243,1,1176,172,14.63,73,99,0,0
Pct 9243/9236,VBM,9243,1,1176,301,25.60,104,190,10,0
Pct 9244/9237,Election Day,9244,1,1556,226,14.52,99,127,1,0
Pct 9244/9237,VBM,9244,1,1556,389,25.00,129,260,5,0
Pct 9245/9247,Election Day,9245,1,1429,234,16.38,101,120,5,0
Pct 9245/9247,VBM,9245,1,1429,377,26.38,155,214,13,0
Pct 9251/9249,Election Day,9251,1,1631,312,19.13,140,176,6,0
Pct 9251/9249,VBM,9251,1,1631,441,27.04,183,260,5,1
Pct 9252,Election Day,9252,1,817,137,16.77,59,77,0,0
Pct 9252,VBM,9252,1,817,257,31.46,109,146,4,0
Pct 9253,Election Day,9253,1,713,126,17.67,42,79,5,0
Pct 9253,VBM,9253,1,713,184,25.81,67,116,2,0
Pct 9255,Election Day,9255,1,468,83,17.74,38,46,0,0
Pct 9255,VBM,9255,1,468,116,24.79,41,77,1,0
Pct 9256/9254,Election Day,9256,1,1165,186,15.97,91,95,0,0
Pct 9256/9254,VBM,9256,1,1165,308,26.44,103,208,3,0
Pct 9257 MB,Election Day,9257,1,251,4,1.59,2,2,0,0
Pct 9257 MB,VBM,9257,1,251,111,44.22,54,55,2,0
Pct 9258,Election Day,9258,1,624,127,20.35,58,68,1,0
Pct 9258,VBM,9258,1,624,181,29.01,84,99,3,0
Pct 9401/9411,Election Day,9401,1,1773,322,18.16,189,128,4,1
Pct 9401/9411,VBM,9401,1,1773,428,24.14,229,198,10,1
Pct 9402/9403,Election Day,9402,1,1734,290,16.72,140,139,8,1
Pct 9402/9403,VBM,9402,1,1734,437,25.20,179,259,5,0
Pct 9404,Election Day,9404,1,844,132,15.64,74,53,3,1
Pct 9404,VBM,9404,1,844,243,28.79,72,171,5,0
Pct 9405,Election Day,9405,1,724,145,20.03,68,76,1,0
Pct 9405,VBM,9405,1,724,194,26.80,78,113,6,0
Pct 9406,Election Day,9406,1,841,166,19.74,74,89,3,0
Pct 9406,VBM,9406,1,841,210,24.97,77,125,11,0
Pct 9407,Election Day,9407,1,835,141,16.89,62,77,2,0
Pct 9407,VBM,9407,1,835,188,22.51,67,113,9,0
Pct 9408,Election Day,9408,1,769,140,18.21,78,59,3,0
Pct 9408,VBM,9408,1,769,165,21.46,85,79,4,0
Pct 9409,Election Day,9409,1,584,121,20.72,72,45,3,0
Pct 9409,VBM,9409,1,584,137,23.46,57,78,5,0
Pct 9413,Election Day,9413,1,842,143,16.98,74,68,1,0
Pct 9413,VBM,9413,1,842,261,31.00,108,152,1,0
Pct 9416/9412,Election Day,9416,1,1741,338,19.41,164,168,6,0
Pct 9416/9412,VBM,9416,1,1741,457,26.25,199,244,13,0
Pct 9418/9417,Election Day,9418,1,1446,249,17.22,116,131,2,0
Pct 9418/9417,VBM,9418,1,1446,405,28.01,145,261,7,0
Pct 9419/9414,Election Day,9419,1,1642,260,15.83,146,111,3,0
Pct 9419/9414,VBM,9419,1,1642,508,30.94,197,300,16,0
Pct 9421/9415,Election Day,9421,1,1569,222,14.15,120,97,5,0
Pct 9421/9415,VBM,9421,1,1569,497,31.68,168,331,8,0
Pct 9422/9428,Election Day,9422,1,1856,255,13.74,117,133,5,0
Pct 9422/9428,VBM,9422,1,1856,541,29.15,192,337,14,0
Pct 9423/9434,Election Day,9423,1,1719,277,16.11,121,153,2,0
Pct 9423/9434,VBM,9423,1,1719,478,27.81,188,282,13,0
Pct 9424/9425,Election Day,9424,1,1706,239,14.01,99,137,3,0
Pct 9424/9425,VBM,9424,1,1706,492,28.84,148,333,13,0
Pct 9426,Election Day,9426,1,736,106,14.40,49,56,1,0
Pct 9426,VBM,9426,1,736,208,28.26,59,145,3,0
Pct 9427,Election Day,9427,1,846,121,14.30,64,58,0,0
Pct 9427,VBM,9427,1,846,252,29.79,79,170,6,0
Pct 9429/9431,Election Day,9429,1,1702,287,16.86,143,135,9,0
Pct 9429/9431,VBM,9429,1,1702,543,31.90,189,346,11,0
Pct 9432,Election Day,9432,1,839,123,14.66,55,68,0,0
Pct 9432,VBM,9432,1,839,218,25.98,79,132,8,0
Pct 9433,Election Day,9433,1,867,97,11.19,41,55,2,0
Pct 9433,VBM,9433,1,867,246,28.37,101,149,3,0
Pct 9436,Election Day,9436,1,921,135,14.66,49,84,1,0
Pct 9436,VBM,9436,1,921,262,28.45,96,164,4,0
Pct 9437/9445,Election Day,9437,1,1705,274,16.07,120,149,4,0
Pct 9437/9445,VBM,9437,1,1705,515,30.21,197,316,9,1
Pct 9439/9438,Election Day,9439,1,1700,215,12.65,106,103,6,0
Pct 9439/9438,VBM,9439,1,1700,541,31.82,182,353,11,2
Pct 9442/9435,Election Day,9442,1,1795,286,15.93,144,136,4,0
Pct 9442/9435,VBM,9442,1,1795,473,26.35,179,286,13,0
Pct 9443/9441,Election Day,9443,1,1716,255,14.86,114,131,8,0
Pct 9443/9441,VBM,9443,1,1716,505,29.43,181,318,12,0
Pct 9447/9448,Election Day,9447,1,1732,256,14.78,143,110,2,0
Pct 9447/9448,VBM,9447,1,1732,478,27.60,194,280,10,0
Pct 9449/9444,Election Day,9449,1,1578,194,12.29,92,98,3,0
Pct 9449/9444,VBM,9449,1,1578,479,30.35,158,314,13,0
Pct 9451,Election Day,9451,1,389,55,14.14,33,21,1,0
Pct 9451,VBM,9451,1,389,137,35.22,55,84,0,0
Pct 9452/9446,Election Day,9452,1,1704,287,16.84,144,140,3,0
Pct 9452/9446,VBM,9452,1,1704,538,31.57,197,336,10,0
Pct 9453,Election Day,9453,1,434,77,17.74,45,32,0,0
Pct 9453,VBM,9453,1,434,145,33.41,65,75,4,0
Pct 9501 MB,Election Day,9501,1,140,0,0.00,0,0,0,0
Pct 9501 MB,VBM,9501,1,140,50,35.71,21,27,4,0
Pct 9502 MB,Election Day,9502,1,183,1,0.55,1,0,0,0
Pct 9502 MB,VBM,9502,1,183,89,48.63,31,57,1,0
Pct 9503/9504,Election Day,9503,1,609,84,13.79,36,46,2,0
Pct 9503/9504,VBM,9503,1,609,148,24.30,70,75,8,0
Pct 9505/9506,Election Day,9505,1,1433,206,14.38,104,97,6,0
Pct 9505/9506,VBM,9505,1,1433,357,24.91,126,222,9,0
Pct 9507/9509,Election Day,9507,1,1308,256,19.57,148,103,4,0
