"State.Postal","count"
"AK",2
"AL",68
"AR",75
"AZ",16
"CA",59
"DC",2
"DE",4
"HI",5
"IA",100
"ID",45
"IL",103
"IN",93
"KS",106
"KY",121
"LA",65
"MA",352
"MD",25
"ME",500
"MI",84
"MN",88
"MO",116
"MS",83
"MT",57
"NC",101
"ND",54
"NE",94
"NH",238
"NJ",22
"NM",34
"NV",18
"NY",63
"OH",89
"OK",78
"OR",37
"PA",68
"RI",40
"SD",67
"TN",96
"TX",255
"VA",135
"VT",247
"WA",40
"WI",73
"WV",56
